Ks_WtAvg,MUKEY
0.00295336205712,661627
0.0048887951425,661628
0.000914792048427,661629
0.00327029943699,661630
0.00201308085106,661631
0.00305003476057,661632
0.00281937907483,661633
0.00344242890492,661634
0.00339066979349,661635
0.00139901540585,661636
0.0030975704801,661637
0.00315645605206,661638
0.00222904897528,661639
0.00184435536067,661640
0.0025750326194,661641
0.0022567764533,661642
0.000949050921979,661643
0.00195671750933,661644
0.00201327032141,661645
0.00677941921026,661646
0.0212102647245,661647
0.0156204665141,661648
0.00222781884443,661649
0.00238926057465,661650
0.00393971905714,661651
0.00640649380695,661652
0.00164549675992,661653
0.0033014993039,661654
0.00349276,661655
0.00457827597886,661656
0.0100156463743,661657
0.0215155003182,661658
0.0433375063402,661659
0.00362831594366,661660
0.0373807102407,661661
0.00967297663057,661662
0.00166354508772,661663
0.00326003152138,661664
0.012651573403,661665
0.00175032001445,661666
0.0026870152913,661667
0.00188354433634,661668
0.00303951605511,661669
0.00344523010676,661670
0.00246686163779,661671
0.00302738224102,661672
0.00274277144386,661673
0.0015272759888,661674
0.00174577738994,661675
0.00296726029424,661676
0.00292041835831,661677
0.00378312104115,661678
0.00337506857143,661679
0.00249095185264,661680
0.00315910783627,661681
0.00300664501712,661682
0.00288554403067,661683
0.00181920561914,661684
0.00352720855615,661685
0.00342206582278,661686
0.0036011826087,661687
0.0123945364203,661688
0.00353371094891,661689
0.00370703532086,661690
0.00656455151909,661691
0.00493863075454,661692
0.0118460039979,661693
0.00221464615825,661694
0.00980243398793,661695
0.00274303735718,661696
0.00206087874544,661697
0.00313762109538,661698
0.00370982304281,661699
0.00175988690419,661700
0.00217306210723,661701
0.00259551092443,661702
0.00264580499889,661703
0.00340178562738,661704
0.0106874489904,661705
0.00309751938914,661706
0.0218239085976,661707
0.00330174135994,661708
0.00825594172406,661709
0.00305010118452,661710
0.00511140072944,661711
0.0102299844816,661712
0.01669582,661713
0.0385943142857,661714
0.0152714686265,661715
0.00412983322259,661716
0.00189153028175,661717
0.000380955733674,661718
0.00272333319566,661719
0.00400340478741,661720
0.00326469126631,661721
0.00245535657387,661722
0.00328592314835,661723
0.00439860369326,661724
0.00295785971518,661725
0.0163533941952,661726
0.00902282342484,661727
0.0397169964203,661728
0.0186196949862,661729
0.00998900757452,661730
0.00961716288554,661731
0.00562015384615,661732
0.0227233211758,661733
0.0271617326099,661734
0.00394818662357,661735
0.0278522827856,661736
0.00347496842042,661737
0.00307536548777,661738
0.00416825871496,661739
0.0035156,661740
0.00394975349609,661741
0.00752502152493,661742
0.00640232369929,661743
0.0142272923875,661744
0.0223717,661745
0.0217701,661746
0.0031583572326,661747
0.00454720837981,661748
0.00328356803319,661749
0.0118125064235,661750
0.00378275781017,661751
0.00241474624672,661752
0.00269704434707,661753
0.0124686509467,661754
0.00660670956988,661755
0.00188218134646,661756
0.00579059146182,661757
0.00164697823279,661758
0.0169837552126,661759
0.0029706786768,661760
0.000359568067227,661761
0.0060573712577,661762
0.00310696402435,661763
0.0047822542516,661764
0.0010852251614,661765
0.00132919253003,661766
0.00221123707975,661767
0.0104862326891,661768
0.00205016990535,661769
0.00240085607436,661770
0.00254348187311,661771
0.00303549836819,661772
0.0190957514867,661773
0.00481781653918,661774
0.0018392044367,661775
0.00334546839096,661776
0.0192645987162,661777
0.00176287197524,661778
0.00447173330448,661779
0.0076407559141,661780
0.00363191631826,661781
0.0052913908366,661782
0.00577739943564,661783
0.00817721122476,661784
0.00247431188827,661785
0.00424571873134,661786
0.00736913795893,661787
0.00594864233192,661788
0.00260575671986,661789
0.00263530974707,661790
0.00230395464408,661791
0.0058871174415,661792
0.00986541045641,661793
0.00405370738346,661794
0.00576798093073,661795
0.00676646801955,661796
0.00322611879938,661797
0.00431888935457,661798
0.00340739445871,661799
0.00367563753671,661800
0.0228858559662,661801
0.0016742383055,661802
0.0113298400301,661803
0.0256967053808,661804
0.00377259276956,661805
0.0105723475299,661806
0.00841345147938,661807
0.00222344381273,661808
0.0116806199398,661809
0.00333597574472,661810
0.00105118271431,661811
0.0028881419178,661812
0.00352762064115,661813
0.00616895339685,661814
0.00184372354628,661815
0.00243017276593,661816
0.0213409984457,661817
0.0163044615426,661818
0.00386989603529,661819
0.00256228625586,661820
0.00135845719665,661821
0.00161670618332,661822
0.00164650000933,661823
0.00738423376436,661824
0.00751423185563,661825
0.00394405921933,661826
0.00266591755858,661827
0.00380374674844,661828
0.00128165029893,661829
0.0017486285033,661830
0.00169485347385,661831
0.00352704554498,661832
0.00429568945996,661833
0.00523333344008,661834
0.00923627341645,661835
0.0020245316852,661836
0.00558483010759,661837
0.0154791451764,661838
0.00384960990194,661839
0.0110637578538,661840
0.00933390361975,661841
0.0106999419485,661842
0.00295965708167,661843
0.0056726366884,661844
0.00751746444805,661845
0.0123811059584,661846
0.00760575621469,661847
0.00234495763408,661848
0.00565236474154,661849
0.00347256314915,661850
0.00146907745692,661851
0.0023108034134,661852
0.0113462146159,661853
0.00237804719747,661854
0.00144129511448,661855
0.00272583384794,661856
0.00272572452255,661857
0.00294750380168,661858
0.0134032625336,661859
0.00619366835297,661860
0.00138579994914,661861
0.00140281193926,661862
0.00561536023206,661863
0.00174690316475,661864
0.000982074614382,661865
0.00710011684784,661866
0.00638510821941,661867
0.00195697886484,661868
0.00621258180071,661869
0.00991837512534,661870
0.0159227314754,661871
0.0192334040708,661872
0.00434656508196,661873
0.00471507341357,661874
0.00199523095103,661875
0.00124924600281,661876
0.00315935819077,661877
0.00408836568317,661878
0.00151459616918,661879
0.00146579695425,661880
0.00955715174452,661881
0.000464537499357,661882
0.00623366356549,661883
0.000976392605611,661884
0.00139660846906,661885
0.00148777750949,661886
0.00349014120603,661887
0.00366077242722,661888
0.00278847686134,661889
0.016130630345,661890
0.00724910357091,661891
0.0186601908472,661892
0.0162979112802,661893
0.00585604255691,661894
0.0108081499584,661895
0.00581241577629,661896
0.00370289891935,661897
0.005902742464,661898
0.00501136151523,661899
0.0167877416999,661900
0.00933934973677,661901
0.0114012993866,661902
0.0102598585027,661903
0.00867265924821,661904
0.00980479001929,661905
0.0142427960896,661906
0.0112318338014,661907
0.00139946647207,661908
0.0137955487032,661909
0.00131497954467,661910
0.0150985459854,661911
0.013383087972,661912
0.00652598045225,661913
0.00444692325687,661914
0.00143091352509,661915
0.000827623529484,661916
0.00129260789357,661917
0.00127714064057,661918
0.000627526559114,661919
0.0186025714286,661920
0.00144982971557,661921
0.0144284019283,661922
0.0122904407895,661923
0.00383949066766,661924
0.0105604284638,661925
0.00979583973684,661926
0.00568464342105,661927
0.00543130046979,661928
0.0109911166655,661929
0.00110551700167,661930
0.000831085631488,661931
0.0015915240892,661932
0.00527713886617,661933
0.00223302424068,661934
0.00318420360183,661935
0.00842926788795,661936
0.00208587525067,661937
0.0103781033125,661938
0.00468288738757,661939
0.00180317868572,661940
0.00158800766333,661941
0.00505806214386,661942
0.00468153035676,661943
0.00495102976208,661944
0.0116696523376,661946
0.0167164019024,661947
0.00683802295082,661948
0.00106631639344,661949
0.00875900655738,661950
0.0124482306792,661951
0.00425422707066,661952
0.00641471046961,661953
0.00390613740369,661954
0.0050742919812,661955
0.0035637,661956
0.0222841311258,661957
0.00129976967077,661958
0.00196648089159,661959
0.00176195696448,661960
0.00320077650282,661961
0.000393214484187,661962
0.000991594081879,661963
0.00187993652917,661964
0.00157199139693,661965
0.00227356323245,661966
0.00191160499032,661967
0.00176593529342,661968
0.00243201112304,661969
0.00143251110769,661970
0.00150336105685,661971
0.00200468761818,661972
0.00149769870859,661973
0.00324404243515,661974
0.00298207073989,661975
0.00275778450907,661976
0.00286583690387,661977
0.00420698629668,661978
0.00194267342947,661979
0.0031494659789,661980
0.00203982971026,661981
0.00343014933978,661982
0.00180719815355,661983
0.00197235507887,661984
0.0066760435453,661985
0.00409281523785,661986
0.00569654078957,661987
0.00489452208049,661988
0.0058276075942,661989
0.00201867480503,661990
0.00204975946271,661991
0.00237992015878,661992
0.00292580287445,661993
0.00247779722476,661994
0.00261017773733,661995
0.00418041041208,661996
0.00342625875506,661997
0.00337200573707,661998
0.00460519761851,661999
0.00248852023562,662000
0.00487727279396,662001
0.0019229052156,662002
0.00184111227838,662003
0.00224946368429,662004
0.00186678357849,662005
0.00565557583344,662006
0.0121318528431,662007
0.00247808490604,662008
0.0227819919929,662009
0.00181759384075,662010
