TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r,COKEY,CHKEY
8,28,,4.2343,0.8,,2965075,8015867
28,64,,4.2343,1.4,,2965075,8099184
64,112,,14.1143,1.5,,2965075,8182500
0,15,,1.4114,,,2965076,8015870
15,102,,1.4114,,,2965076,8099187
102,152,,0.4234,,,2965076,8182503
0,15,,4.2343,1.3,,2965077,7932556
15,79,,1.4114,1.4,,2965077,8015873
79,152,,1.4114,1.45,,2965077,8099190
38,48,,,,,2965078,8182509
0,10,,4.2343,1.3,,2965078,7932559
10,33,,4.2343,1.4,,2965078,8015876
33,38,,4.2343,1.43,,2965078,8099193
0,8,,14.1143,0.75,,2965079,8015879
8,61,,14.1143,0.75,,2965079,8099196
61,152,,141.1433,,,2965079,8182512
0,25,,4.2343,,,2965080,7932566
25,152,,4.2343,,,2965080,8015883
107,152,,14.1143,1.4,,2965081,7932570
0,25,,14.1143,0.75,,2965081,8015886
25,38,,14.1143,0.75,,2965081,8099203
38,107,,14.1143,1.4,,2965081,8182519
112,152,,,,,2965082,7932574
0,10,,14.1143,0.75,,2965082,8015890
10,51,,14.1143,0.75,,2965082,8099207
51,112,,141.1433,,,2965082,8182523
25,66,,4.2343,1.53,,2965552,7934102
66,152,,4.2343,1.53,,2965552,8017419
0,25,,4.2343,0.8,,2965552,8184051
0,152,,,,,2965598,8017576
152,178,,4.2343,1.55,,2965599,7934262
0,140,,14.1143,,,2965599,8100895
140,152,,4.2343,1.4,,2965599,8184211
15,46,,4.2343,1.5,,2965602,7934271
46,71,,1.4114,1.5,,2965602,8017588
71,152,,4.2343,1.5,,2965602,8100905
0,15,,4.2343,1.2,,2965602,8184220
0,8,,14.1143,1.3,,2965635,8184319
8,36,,14.1143,1.4,,2965635,7934370
36,56,,14.1143,1.4,,2965635,8017687
56,152,,14.1143,1.4,,2965635,8101004
8,48,,1.4114,,,2965665,7934470
48,58,,,,,2965665,8017787
0,8,,4.2343,,,2965665,8184419
36,152,,4.2343,1.6,,2965729,7934683
0,20,,4.2343,1.3,,2965729,8101316
20,36,,4.2343,1.5,,2965729,8184632
0,36,,4.2343,,,2965730,7934686
36,152,,4.2343,,,2965730,8018003
30,61,,14.1143,1.55,,2965738,7934714
61,91,,14.1143,1.58,,2965738,8018031
91,152,,14.1143,1.6,,2965738,8101348
0,30,,4.2343,0.9,,2965738,8184663
15,38,,4.2343,,,2965759,7934786
38,152,,4.2343,,,2965759,8018103
0,15,,4.2343,,,2965759,8184735
0,23,,4.2343,0.8,,2965764,7934800
23,41,,14.1143,1.48,,2965764,8018117
41,86,,14.1143,1.48,,2965764,8101434
86,152,,14.1143,1.53,,2965764,8184750
0,152,,,,,2965841,8018370
20,84,,4.2343,1.38,,2965853,7935091
84,152,,4.2343,1.43,,2965853,8018408
0,20,,4.2343,0.9,,2965853,8185040
66,152,,42.343,1.5,,2966516,7937218
0,18,,14.1143,1.6,,2966516,8103851
18,66,,14.1143,1.6,,2966516,8187167
178,218,,4.2343,1.45,,2966517,7937221
0,15,,4.2343,1.4,,2966517,8020537
15,56,,4.2343,1.45,,2966517,8103854
56,178,,0.0,,,2966517,8187170
33,43,,1.4114,1.45,,2967533,7940429
43,64,,0.4234,1.33,,2967533,8023746
64,122,,1.4114,1.45,,2967533,8107063
0,33,,4.2343,1.45,,2967533,8190378
122,152,,4.2343,1.55,,2967533,8190379
15,79,,1.4114,1.5,,2967534,7940434
