MUKEY,dbthirdbar_r_WtAvg
661627,1.33908365548
661628,1.40399900457
661629,1.2425661764
661630,1.47964993397
661631,0.841721597693
661632,1.20226961091
661633,1.44223859649
661634,1.41716301767
661635,1.14974222183
661636,1.03185470247
661637,1.35742665709
661638,1.31738556964
661639,1.3600095569
661640,1.33848326426
661641,1.34114061417
661642,1.33351136626
661643,1.35120251291
661644,1.40376247692
661645,1.34123443772
661646,1.40255626065
661647,1.47608864332
661648,1.33699025746
661649,1.22511258277
661650,1.37375582106
661651,1.54005732952
661652,1.38712401858
661653,1.38049964026
661654,1.48160317111
661655,1.24247828947
661656,1.32248039397
661657,1.52045077296
661658,0.650729390681
661659,1.49926233184
661660,0.728
661661,1.59841835664
661662,1.29429756098
661663,1.06626153846
661664,1.06746856725
661665,0.968854150889
661666,0.530299365093
661667,1.04438089283
661668,1.32979653419
661669,1.47815551415
661670,1.49913924986
661671,1.35640938717
661672,1.35121879828
661673,1.29933979757
661674,1.36769021006
661675,1.3886472112
661676,1.38188076462
661677,1.38693981595
661678,1.17123392974
661679,1.39492965539
661680,1.01136710521
661681,1.41954553485
661682,1.35627378161
661683,1.35484793305
661684,1.41000909335
661685,1.34828425905
661686,1.37246855263
661687,1.32649828375
661688,1.53795247448
661689,1.33881537713
661690,1.43701357022
661691,1.47130753719
661692,1.33872565447
661693,1.5247712369
661694,1.22729939702
661695,1.30945211492
661696,1.38210538382
661697,1.27074406184
661698,1.30537418902
661699,1.38405577612
661700,1.31944904136
661701,1.2198893185
661702,1.42940982477
661703,0.643608487931
661704,1.35772806774
661705,1.55663413715
661706,1.43512194399
661707,1.55437581964
661708,1.40803938121
661709,1.48569175043
661710,1.31209178571
661711,1.48199631762
661712,1.48305766198
661713,1.20713333333
661714,1.46157638795
661715,1.07772116471
661716,1.25769127538
661717,1.1887341239
661718,0.163598033601
661719,1.20785815627
661720,1.05086519806
661721,1.14330198555
661722,1.34837825813
661723,1.36946928436
661724,1.37827761873
661725,1.34708246245
661726,1.46600050741
661727,1.4150925734
661728,1.50866017731
661729,1.61203308151
661730,1.55448909946
661731,1.37834118879
661732,1.08364713818
661733,1.17694460213
661734,1.30701560051
661735,1.37209797387
661736,1.51050656911
661737,1.50858799808
661738,1.21140480046
661739,1.40232142295
661740,1.42398684211
661741,1.13497475528
661742,1.0722756608
661743,1.325314766
661744,1.02134782609
661745,1.2526
661746,0.7699
661747,1.44403276805
661748,1.55083548035
661749,1.51578678019
661750,1.41463063484
661751,1.31597555759
661752,1.42516317824
661753,1.53434138319
661754,1.34499683541
661755,1.42604923561
661756,1.0409525161
661757,1.31485096922
661758,0.161477386935
661759,1.45920109857
661760,1.4079972214
661761,0.155
661762,1.43927028779
661763,1.35710173292
661764,0.950125283209
661765,1.30374066649
661766,1.13443486657
661767,0.93394861682
661768,1.41553992676
661769,1.2998910685
661770,1.29043703208
661771,1.33518271071
661772,1.41456065724
661773,1.26476890009
661774,1.2101072309
661775,1.21812552193
661776,1.25245828917
661777,1.59883224367
661778,0.995728424357
661779,1.37678415017
661780,1.49070059158
661781,1.41486178884
661782,1.10791230015
661783,1.49994140891
661784,1.49318485042
661785,1.47581090387
661786,1.37813427721
661787,0.91131546785
661788,1.32882539383
661789,1.42784549463
661790,1.36454177232
661791,1.31844379083
661792,1.4956563972
661793,1.48560218642
661794,1.37967509021
661795,1.51614498575
661796,1.47301618655
661797,1.50572351934
661798,1.422037776
661799,1.27909818093
661800,1.38979906216
661801,1.47178345466
661802,1.37147063982
661803,1.4846644608
661804,1.55442959927
661805,1.32132656216
661806,1.38291000869
661807,0.914873135013
661808,1.10897279293
661809,1.45575909916
661810,0.918049816403
661811,0.904048117155
661812,1.31265760999
661813,1.37287381129
661814,1.07307716505
661815,1.35121915143
661816,1.29876778186
661817,1.38689257655
661818,1.41751968258
661819,1.45470785807
661820,1.24033617053
661821,1.2438154206
661822,1.47448036718
661823,1.35475127424
661824,1.25693539546
661825,1.33296343337
661826,1.31681045528
661827,1.1179389351
661828,1.50505976101
661829,1.3289699743
661830,1.420672636
661831,1.36579273855
661832,0.944362542298
661833,1.30214543583
661834,1.20514378335
661835,1.27787596071
661836,1.34013232828
661837,1.2216037052
661838,1.17299123402
661839,1.44629916811
661840,1.10172314502
661841,1.18058269598
661842,0.913044897216
661843,1.36522144309
661844,0.60478036743
661845,1.36260662105
661846,1.18850276168
661847,1.42608662866
661848,1.38032066509
661849,1.40854343483
661850,1.37802536011
661851,1.28547545929
661852,1.45189075943
661853,1.47544301182
661854,1.41209076802
661855,1.19693327282
661856,1.28568244418
661857,1.24241948105
661858,1.29213881483
661859,1.41125300541
661860,1.56300636737
661861,1.17870531617
661862,1.42166863638
661863,1.52925753476
661864,1.35478563891
661865,1.18965494371
661866,1.60514048181
661867,1.50757059464
661868,1.37497517369
661869,1.57349672699
661870,1.55755220959
661871,0.3662
661872,0.477618556701
661873,1.37457765614
661874,1.48422419818
661875,0.949221399932
661876,1.14348031574
661877,1.34128337001
661878,1.40719367348
661879,1.27631748409
661880,1.31668797699
661881,1.47341193918
661882,1.18733834374
661883,1.43215376627
661884,1.38221387819
661885,1.22709742138
661886,1.08099834562
661887,1.12571596593
661888,1.49964427195
661889,1.42933799555
661890,1.45523304987
661891,1.48035491291
661892,1.49010687308
661893,1.38016250716
661894,1.37917743578
661895,1.49701455839
661896,1.45756849812
661897,1.37753332255
661898,1.09257275065
661899,1.11876386894
661900,1.50112332361
661901,1.46700501971
661902,1.52346443711
661903,1.44786251362
661904,1.49620780159
661905,1.42501686154
661906,0.558631818182
661907,1.47915783489
661908,0.175088192321
661909,1.52920007555
661910,1.42473231973
661911,1.505945106
661912,1.50571468582
661913,1.44342092621
661914,1.34311104782
661915,0.147340620545
661916,1.39938424465
661917,1.37044613692
661918,0.358311743772
661919,1.12053457984
661920,0.5045
661921,0.197940620545
661922,1.43835152382
661923,1.32232697368
661924,1.27392494381
661925,1.31441222289
661926,1.60132039474
661927,1.16491624801
661928,1.12846894878
661929,0.476178905226
661930,1.43257534831
