textureName,CHtxtgrpKEY,CHTXTKEY,CHKEY,AvaWaterCon,MUKEY,ComponentPercent,MajorComponent,COKEY,TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r
Silty clay loam,15406264,15941971,8178193,0,662018,28,No ,2989646,114,152,,0.42,1.6,
Silt loam,15702607,15866304,8178194,0,662018,3,No ,3015553,84,122,,0.01,1.75,
Silty clay loam,15554436,15979807,8178194,0,662018,3,No ,3015553,84,122,,0.01,1.75,
Silt loam,15702621,15563620,8178224,0,661974,5,Yes,3041468,48,89,,1.41,1.4,
Silty clay loam,15258107,15904137,8178224,0,661974,5,Yes,3041468,48,89,,1.41,1.4,
Silty clay loam,15702622,15714964,8178226,0,661979,22,Yes,3067374,91,160,,1.41,1.55,
Silty clay,15554451,15828467,8178226,0,661979,22,Yes,3067374,91,160,,1.41,1.55,
Clay loam,15702623,15866308,8178228,0,661983,8,Yes,3041469,43,89,,1.41,1.4,
Clay loam,15258109,15601450,8178228,0,661983,8,Yes,3041469,43,89,,1.41,1.4,
Silt loam,15406281,15487944,8178228,0,661983,8,Yes,3041469,43,89,,1.41,1.4,
Silty clay loam,15702624,16017652,8178229,0,661983,6,Yes,3067375,43,58,,1.41,1.3,
Silt loam,15554453,15525780,8178229,0,661983,6,Yes,3067375,43,58,,1.41,1.3,
Silt loam,15702637,15563624,8178266,0,661965,15,No ,2989668,0,10,,4.0,1.3,
Silty clay loam,15702638,15714968,8178269,0,661964,11,No ,3067388,104,140,,4.0,1.55,
Loam,15258124,15450110,8178269,0,661964,11,No ,3067388,104,140,,4.0,1.55,
Loam,15554467,15828471,8178269,0,661964,11,No ,3067388,104,140,,4.0,1.55,
Clay loam,15702639,15866312,8178272,0,662084,2,No ,3067389,20,33,,1.4,1.5,
Loam,15258125,15601454,8178272,0,662084,2,No ,3067389,20,33,,1.4,1.5,
Silt loam,15702640,16017656,8178274,0,662019,8,Yes,3067390,36,58,,4.0,0.8,
Loam,15554469,15525784,8178274,0,662019,8,Yes,3067390,36,58,,4.0,0.8,
Loam,15702641,15563625,8178277,0,662021,12,Yes,3067391,23,53,,4.0,1.45,
Silt loam,15702654,15714972,8178308,0,662010,11,No ,3015588,48,84,,1.4,1.3,
Silty clay loam,15258140,15601458,8178308,0,662010,11,No ,3015588,48,84,,1.4,1.3,
Loam,15702655,15866316,8178311,0,662011,3,No ,3015589,0,56,,14.0,1.2,
Silt loam,15702656,16017660,8178313,0,662050,2,No ,3067402,28,51,,4.0,1.43,
Loam,15258142,15904146,8178313,0,662050,2,No ,3067402,28,51,,4.0,1.43,
Loam,15702657,15563629,8178315,0,662049,6,No ,3015590,33,76,,4.0,1.4,
Loam,15258143,15450115,8178315,0,662049,6,No ,3015590,33,76,,4.0,1.4,
Silt loam,15554486,15677132,8178315,0,662049,6,No ,3015590,33,76,,4.0,1.4,
Clay,15702671,15866320,8178348,0,661792,3,Yes,3041508,3,15,,0.0,1.48,
Clay loam,15554500,15979823,8178348,0,661792,3,Yes,3041508,3,15,,0.0,1.48,
Sand,15702672,15563633,8178352,0,661828,3,Yes,3015602,130,168,,14.11,1.68,
Loam,15702672,16017664,8178352,0,661828,3,Yes,3015602,130,168,,14.11,1.68,
Clay loam,15702673,15714977,8178354,0,661823,6,Yes,3067415,23,66,,4.0,1.5,
Loam,15258159,15450119,8178354,0,661823,6,Yes,3067415,23,66,,4.0,1.5,
Loam,15406331,15790644,8178354,0,661823,6,Yes,3067415,23,66,,4.0,1.5,
,15702674,15866321,8178356,0,661823,3,Yes,2989696,71,163,,,,
Silt loam,15702688,15563637,8178390,0,661791,2,Yes,3041519,18,43,,4.23,1.35,
Silty clay loam,15702689,15714981,8178392,0,661791,2,Yes,2989706,25,122,,0.42,1.4,
Silty clay,15554518,15677140,8178392,0,661791,2,Yes,2989706,25,122,,0.42,1.4,
Clay,15406346,15639304,8178392,0,661791,2,Yes,2989706,25,122,,0.42,1.4,
Fine sandy loam,15702690,15866325,8178395,0,661682,3,Yes,2989707,0,15,,14.11,1.3,
Silt loam,15702691,16017669,8178399,0,661683,2,Yes,2989708,36,89,,4.23,1.25,
Silt loam,15258177,15904155,8178399,0,661683,2,Yes,2989708,36,89,,4.23,1.25,
Loam,15406349,15487961,8178399,0,661683,2,Yes,2989708,36,89,,4.23,1.25,
Clay,15702704,15563641,8178435,0,661648,2,Yes,3041532,15,56,,0.0,1.35,
Silty clay,15554533,15525800,8178435,0,661648,2,Yes,3041532,15,56,,0.0,1.35,
Clay loam,15702705,15714985,8178438,0,661830,9,Yes,3015626,91,135,,1.41,1.5,
,15702706,15866329,8178440,0,661882,13,Yes,3067439,51,102,,0.0,,
Sand,15702707,16017673,8178443,21,661881,5,Yes,3041534,69,152,,141.14,1.65,
Loam,15702721,15714989,8178473,0,661735,24,No ,3041543,25,76,,14.0,1.33,
Loam,15258207,15752819,8178473,0,661735,24,No ,3041543,25,76,,14.0,1.33,
Sandy loam,15406379,15790656,8178473,0,661735,24,No ,3041543,25,76,,14.0,1.33,
Sandy loam,15702722,15866333,8178474,0,661735,13,No ,3067449,28,99,,4.0,1.4,
Sandy loam,15258208,15904163,8178474,0,661735,13,No ,3067449,28,99,,4.0,1.4,
Loam,15554551,15828492,8178474,0,661735,13,No ,3067449,28,99,,4.0,1.4,
Loam,15702723,16017677,8178476,0,661739,3,No ,3015637,0,23,,4.0,1.13,
Loam,15702724,15563646,8178478,0,661762,24,No ,3067450,10,66,,14.0,1.15,
Loam,15554553,15525805,8178478,0,661762,24,No ,3067450,10,66,,14.0,1.15,
Silt loam,15406381,15487969,8178478,0,661762,24,No ,3067450,10,66,,14.0,1.15,
Clay loam,15702738,15866337,8178502,0,661800,5,No ,2989737,48,152,,1.4,1.45,
Silty clay loam,15554567,15828496,8178502,0,661800,5,No ,2989737,48,152,,1.4,1.45,
Silt loam,15406395,15790660,8178502,0,661800,5,No ,2989737,48,152,,1.4,1.45,
Fine sand,15702739,15563650,8178506,0,661703,46,Yes,3015645,53,140,,14.11,1.18,
Fine sandy loam,15702739,16017681,8178506,0,661703,46,Yes,3015645,53,140,,14.11,1.18,
Loam,15702740,15714994,8178509,0,661700,8,Yes,3015646,10,20,,1.41,1.4,
Loam,15258226,15752824,8178509,0,661700,8,Yes,3015646,10,20,,1.41,1.4,
Clay loam,15406398,15639317,8178509,0,661700,8,Yes,3015646,10,20,,1.41,1.4,
Loam,15702741,15866338,8178511,0,661700,6,Yes,3041553,132,152,,4.0,1.43,
Loam,15258227,15904168,8178511,0,661700,6,Yes,3041553,132,152,,4.0,1.43,
Clay loam,15702754,16017685,8178547,0,661856,5,Yes,3015656,76,152,,1.41,1.38,
Clay loam,15554583,15979844,8178547,0,661856,5,Yes,3015656,76,152,,1.41,1.38,
Loam,15406411,15790664,8178547,0,661856,5,Yes,3015656,76,152,,1.41,1.38,
Sandy loam,15702755,15563654,8178551,0,661855,7,Yes,3041564,0,23,,14.11,1.38,
Sandy loam,15702771,15563658,8178591,0,661885,8,Yes,3015668,0,15,,14.11,1.35,
Loam,15702772,15715002,8178593,0,661885,3,Yes,3067481,46,64,,4.23,1.55,
Silt loam,15258258,15904176,8178593,0,661885,3,Yes,3067481,46,64,,4.23,1.55,
Loam,15554601,15677161,8178593,0,661885,3,Yes,3067481,46,64,,4.23,1.55,
Clay loam,15702773,15866346,8178595,0,661886,2,Yes,3015669,15,25,,1.41,1.35,
Clay loam,15258259,15450145,8178595,0,661886,2,Yes,3015669,15,25,,1.41,1.35,
Clay loam,15406431,15942013,8178595,0,661886,2,Yes,3015669,15,25,,1.41,1.35,
Silt loam,15702774,16017690,8178596,0,666914,25,Yes,3041576,10,33,,1.41,1.2,
Silty clay loam,15554603,15979849,8178596,0,666914,25,Yes,3041576,10,33,,1.41,1.2,
Silt loam,15704359,15866756,8182367,0,661629,2,No ,3016847,0,33,,4.2343,1.55,
Silty clay loam,15704360,16018100,8182369,0,661629,10,No ,2990941,0,20,,0.4234,1.23,
,15704361,15564069,8182372,0,661631,41,No ,2990942,104,114,,,,
Clay loam,15704362,15715413,8182376,0,661633,2,No ,3042756,23,48,,1.4114,1.55,
Loam,15259848,15904587,8182376,0,661633,2,No ,3042756,23,48,,1.4114,1.55,
Sandy clay loam,15408020,15791077,8182376,0,661633,2,No ,3042756,23,48,,1.4114,1.55,
Loam,15704376,16018104,8182414,0,661802,15,No ,2990956,0,5,,4.2343,1.3,
Clay,15704377,15564073,8182417,0,661807,4,No ,2965050,18,56,,0.4234,1.5,
Silty clay,15259863,15753247,8182417,0,661807,4,No ,2965050,18,56,,0.4234,1.5,
Silty clay loam,15556206,15828919,8182417,0,661807,4,No ,2965050,18,56,,0.4234,1.5,
Sandy clay loam,15704378,15715417,8182418,0,661808,3,No ,2990957,13,33,,1.4114,,
Loam,15556207,15980263,8182418,0,661808,3,No ,2990957,13,33,,1.4114,,
Clay loam,15408035,15639737,8182418,0,661808,3,No ,2990957,13,33,,1.4114,,
,15704379,15866761,8182421,0,661810,22,No ,2990958,0,152,,141.1433,2.18,
Silt loam,15704392,16018108,8182448,0,661985,15,No ,3016873,5,41,,4.2343,0.75,
Loamy sand,15704393,15564077,8182451,0,661985,18,No ,2965060,122,152,,42.343,1.5,
Coarse sand,15259879,15753251,8182451,0,661985,18,No ,2965060,122,152,,42.343,1.5,
Sandy loam,15704394,15715421,8182452,0,661986,1,No ,2990967,79,152,,42.343,1.5,
Loamy sand,15556223,15980267,8182452,0,661986,1,No ,2990967,79,152,,42.343,1.5,
Sandy loam,15408051,15639741,8182452,0,661986,1,No ,2990967,79,152,,42.343,1.5,
Loam,15704395,15866765,8182454,0,661986,15,No ,3042780,61,157,,4.2343,1.45,
Silt loam,15556224,15526236,8182454,0,661986,15,No ,3042780,61,157,,4.2343,1.45,
Loam,15408052,15791085,8182454,0,661986,15,No ,3042780,61,157,,4.2343,1.45,
Silt loam,15704409,15564081,8182483,0,662036,6,No ,2965070,30,127,,1.4114,1.35,
Silt loam,15259895,15753255,8182483,0,662036,6,No ,2965070,30,127,,1.4114,1.35,
Sandy loam,15704410,15715425,8182484,0,662036,13,No ,2990977,18,86,,4.2343,1.48,
Sandy loam,15556239,15980271,8182484,0,662036,13,No ,2990977,18,86,,4.2343,1.48,
Loam,15408067,15639745,8182484,0,662036,13,No ,2990977,18,86,,4.2343,1.48,
Loam,15704411,15866769,8182486,0,662037,2,No ,3042790,10,69,,4.2343,1.25,
Loam,15556240,15526240,8182486,0,662037,2,No ,3042790,10,69,,4.2343,1.25,
Silt loam,15704412,16018113,8182489,0,662048,35,No ,3042791,53,152,,1.4114,,
Silty clay loam,15556241,15677584,8182489,0,662048,35,No ,3042791,53,152,,1.4114,,
Sandy loam,15704426,15715429,8182519,0,662087,3,No ,2965081,38,107,,14.1143,1.4,
Sandy loam,15259912,15904603,8182519,0,662087,3,No ,2965081,38,107,,14.1143,1.4,
Silt loam,15408084,15791093,8182519,0,662087,3,No ,2965081,38,107,,14.1143,1.4,
Fine sandy loam,15704427,15866773,8182520,0,662089,3,No ,2990988,46,130,,14.1143,1.35,
Silt loam,15259913,15450572,8182520,0,662089,3,No ,2990988,46,130,,14.1143,1.35,
Sandy loam,15556256,15526244,8182520,0,662089,3,No ,2990988,46,130,,14.1143,1.35,
Sandy loam,15704428,16018117,8182521,0,662089,50,No ,3016895,38,66,,4.2343,1.4,
Loam,15556257,15677588,8182521,0,662089,50,No ,3016895,38,66,,4.2343,1.4,
Loam,15408085,15942437,8182521,0,662089,50,No ,3016895,38,66,,4.2343,1.4,
,15704429,15564086,8182523,0,662090,5,No ,2965082,51,112,,141.1433,,
Loam,15705279,15866992,8184339,0,664304,6,No ,3043360,36,79,,4.2343,1.35,
Silt loam,15260765,15450790,8184339,0,664304,6,No ,3043360,36,79,,4.2343,1.35,
Loam,15408937,15488622,8184339,0,664304,6,No ,3043360,36,79,,4.2343,1.35,
Clay loam,15705315,15564314,8184421,0,664345,10,No ,3017479,0,30,,1.4114,1.2,
Sandy loam,15705615,15564390,8185060,0,664654,3,No ,3017672,0,46,,14.1143,1.45,
Clay loam,15708153,16019066,8190386,0,670347,22,Yes,3019348,10,79,,4.2343,1.5,
Loam,15559982,15981226,8190386,0,670347,22,Yes,3019348,10,79,,4.2343,1.5,
Sandy loam,15708154,15565035,8190388,0,670347,6,Yes,2967535,28,64,,4.2343,1.33,
Sandy clay loam,15263640,15602868,8190388,0,670347,6,Yes,2967535,28,64,,4.2343,1.33,
Loam,15708155,15716379,8190389,0,670347,5,Yes,2993442,13,30,,1.4114,1.5,
Clay loam,15559984,15678539,8190389,0,670347,5,Yes,2993442,13,30,,1.4114,1.5,
Clay loam,15411812,15640696,8190389,0,670347,5,Yes,2993442,13,30,,1.4114,1.5,
Clay loam,15708220,15867740,8190561,0,670418,5,Yes,3045309,15,38,,1.4114,1.45,
Clay loam,15560049,15829900,8190561,0,670418,5,Yes,3045309,15,38,,1.4114,1.45,
Loam,15709927,16019524,8194407,0,674331,45,Yes,3020620,43,69,,4.2343,1.35,
Very fine sandy loam,15265413,15451981,8194407,0,674331,45,Yes,3020620,43,69,,4.2343,1.35,
Fine sandy loam,15561756,15981682,8194407,0,674331,45,Yes,3020620,43,69,,4.2343,1.35,
,15710544,15868336,8195812,0,675780,3,No ,2969250,97,107,,,,
Silt loam,15711696,15868628,8198479,0,661687,34,Yes,3047778,0,20,,4.0,1.3,
Silty clay,15711699,15717285,8198487,0,661692,15,Yes,2995968,33,127,,0.42,1.25,
Clay,15267185,15452430,8198487,0,661692,15,Yes,2995968,33,127,,0.42,1.25,
Silty clay loam,15563528,15830788,8198487,0,661692,15,Yes,2995968,33,127,,0.42,1.25,
Silt loam,15711712,15868632,8198517,0,661716,26,Yes,3021885,41,152,,4.0,1.35,
Loam,15711713,16019976,8198519,0,661718,3,Yes,3047792,0,25,,4.0,1.4,
Sandy loam,15711714,15565945,8198523,0,661720,10,Yes,2970074,28,36,,1.41,1.4,
Loam,15711715,15717289,8198525,0,661720,2,Yes,3021888,13,89,,4.0,1.5,
Silt loam,15267201,15452434,8198525,0,661720,2,Yes,3021888,13,89,,4.0,1.5,
Very fine sandy loam,15415373,15490258,8198525,0,661720,2,Yes,3021888,13,89,,4.0,1.5,
,15711716,15868633,8198527,0,661721,2,Yes,2995982,84,109,,0.0,,
Loamy sand,15711729,16019980,8198557,0,661729,25,Yes,3047802,25,58,,42.34,1.65,
Sand,15267215,15452438,8198557,0,661729,25,Yes,3047802,25,58,,42.34,1.65,
Loamy fine sand,15563558,15528108,8198557,0,661729,25,Yes,3047802,25,58,,42.34,1.65,
Sandy loam,15711730,15565949,8198558,0,661729,1,Yes,2970083,20,46,,14.11,1.45,
Very fine sandy loam,15563559,15679452,8198558,0,661729,1,Yes,2970083,20,46,,14.11,1.45,
Fine sandy loam,15415387,15792949,8198558,0,661729,1,Yes,2970083,20,46,,14.11,1.45,
Loam,15711731,15717293,8198560,0,661730,11,Yes,2995990,86,114,,4.0,1.55,
Silt loam,15267217,15755126,8198560,0,661730,11,Yes,2995990,86,114,,4.0,1.55,
Very fine sandy loam,15415389,15490262,8198560,0,661730,11,Yes,2995990,86,114,,4.0,1.55,
Loamy sand,15711732,15868637,8198561,0,661730,4,Yes,3021897,58,89,,42.34,1.65,
Sand,15267218,15906470,8198561,0,661730,4,Yes,3021897,58,89,,42.34,1.65,
Loamy fine sand,15563561,15982140,8198561,0,661730,4,Yes,3021897,58,89,,42.34,1.65,
Loam,15148836,15573558,7932445,0,661665,6,No ,3042762,0,18,,4.2343,1.45,
Loam,15148837,15724902,7932448,0,661666,4,No ,3042763,0,18,,4.2343,,
Loam,15148838,15876246,7932450,0,661667,4,No ,3016858,58,86,,4.2343,,
Silt,15148839,15422215,7932453,0,661678,4,No ,3016859,97,152,,4.2343,1.25,
Silt loam,15593353,15838394,7932453,0,661678,4,No ,3016859,97,152,,4.2343,1.25,
Silt loam,15148840,15573559,7932456,0,661773,8,No ,2965047,46,64,,1.4114,1.5,
Silty clay loam,15593354,15989738,7932456,0,661773,8,No ,2965047,46,64,,1.4114,1.5,
,15148853,15724906,7932489,0,661952,6,No ,3016870,0,152,,,,
Fine sandy loam,15148854,15876250,7932491,0,661955,40,No ,2965057,86,119,,14.1143,1.48,
Fine sandy loam,15445197,15951907,7932491,0,661955,40,No ,2965057,86,119,,14.1143,1.48,
Sandy loam,15593368,15687054,7932491,0,661955,40,No ,2965057,86,119,,14.1143,1.48,
Sandy loam,15148855,15422219,7932494,0,661980,7,No ,2965058,46,152,,4.2343,1.5,
Loam,15593369,15838398,7932494,0,661980,7,No ,2965058,46,152,,4.2343,1.5,
,15148856,15573563,7932496,0,661981,4,No ,3016872,104,114,,,,
Loam,15148870,15876254,7932530,0,662032,10,No ,2965069,43,94,,4.2343,1.2,
Sandy loam,15445214,15497880,7932530,0,662032,10,No ,2965069,43,94,,4.2343,1.2,
Loam,15297042,15611408,7932530,0,662032,10,No ,2965069,43,94,,4.2343,1.2,
Sandy loam,15148871,15422223,7932532,0,662036,3,No ,3016883,33,71,,14.1143,1.23,
,15148872,15573567,7932535,0,662036,13,No ,2990977,86,97,,,,
Loam,15148873,15724911,7932537,0,662037,2,No ,3042790,69,152,,4.2343,1.25,
Loam,15297045,15460065,7932537,0,662037,2,No ,3042790,69,152,,4.2343,1.25,
Silt loam,15148887,15422227,7932568,0,662087,1,No ,3016894,38,107,,14.1143,1.4,
Sandy loam,15445230,15497884,7932568,0,662087,1,No ,3016894,38,107,,14.1143,1.4,
Sandy loam,15593401,15838406,7932568,0,662087,1,No ,3016894,38,107,,14.1143,1.4,
Sandy loam,15150119,15422541,7935187,0,664691,15,No ,3017695,64,152,,14.1143,1.4,
Coarse sandy loam,15298291,15763070,7935187,0,664691,15,No ,3017695,64,152,,14.1143,1.4,
Coarse sandy loam,15594633,15838721,7935187,0,664691,15,No ,3017695,64,152,,14.1143,1.4,
Silt loam,15151066,15725470,7937217,0,666910,11,No ,3044235,71,81,,4.2343,1.35,
Silt loam,15595580,15536274,7937217,0,666910,11,No ,3044235,71,81,,4.2343,1.35,
Clay loam,15152577,15877197,7940440,0,670347,5,Yes,2993442,30,48,,0.4234,1.3,
Clay,15448920,15801514,7940440,0,670347,5,Yes,2993442,30,48,,0.4234,1.3,
Clay,15597091,15688001,7940440,0,670347,5,Yes,2993442,30,48,,0.4234,1.3,
,15154356,15726311,7944464,0,674338,35,No ,3020622,97,107,,,,
Sandy loam,15154358,15423624,7944469,0,674345,25,No ,2994717,33,48,,14.1143,1.25,
Loam,15598872,15688458,7944469,0,674345,25,No ,2994717,33,48,,14.1143,1.25,
Silt loam,15154967,15575121,7945823,0,675767,2,No ,3021051,20,43,,4.2343,1.3,
Silty clay loam,15599481,15537268,7945823,0,675767,2,No ,3021051,20,43,,4.2343,1.3,
Silt loam,15154969,15877809,7945828,0,675768,2,No ,2995146,74,89,,4.2343,1.35,
Silt loam,15599483,15839956,7945828,0,675768,2,No ,2995146,74,89,,4.2343,1.35,
,15155671,15423957,7947422,0,677007,10,No ,3021520,71,81,,,,
Silt,15156071,15424059,7948502,0,661634,7,Yes,3047768,41,152,,4.0,1.3,
Silt loam,15452414,15651062,7948502,0,661634,7,Yes,3047768,41,152,,4.0,1.3,
Very fine sandy loam,15600585,15991581,7948502,0,661634,7,Yes,3047768,41,152,,4.0,1.3,
Silt loam,15156080,15575405,7948532,0,661690,2,Yes,3047779,0,20,,4.0,1.4,
Very fine sandy loam,15156085,15878094,7948548,0,661697,27,Yes,3021878,0,10,,4.0,1.3,
Loam,15156087,15575407,7948556,0,661709,8,Yes,2995974,23,81,,4.0,1.5,
Very fine sandy loam,15452431,15802410,7948556,0,661709,8,Yes,2995974,23,81,,4.0,1.5,
Silt loam,15304259,15764594,7948556,0,661709,8,Yes,2995974,23,81,,4.0,1.5,
Very fine sandy loam,15156094,15424065,7948571,0,661719,3,Yes,2970073,18,36,,4.0,1.45,
Loam,15304266,15764596,7948571,0,661719,3,Yes,2970073,18,36,,4.0,1.45,
Silt loam,15600608,15991587,7948571,0,661719,3,Yes,2970073,18,36,,4.0,1.45,
,15156096,15726753,7948575,0,661720,5,Yes,2995981,56,99,,,,
Silt loam,15156112,15726757,7948617,0,661731,3,Yes,2970085,23,56,,0.42,,
Silty clay loam,15304284,15915945,7948617,0,661731,3,Yes,2970085,23,56,,0.42,,
Fine sand,15156114,15424070,7948622,0,661734,10,Yes,2970087,10,152,,141.14,1.65,
Sand,15304286,15613258,7948622,0,661734,10,Yes,2970087,10,152,,141.14,1.65,
Fine sand,15156119,15575415,7948636,0,661745,8,Yes,2995999,0,10,,141.14,1.58,
,15156128,15424074,7948665,0,661759,5,Yes,2996009,74,152,,141.14,1.65,
Loam,15156130,15726762,7948669,0,661763,7,Yes,3021917,79,117,,4.0,1.55,
Sandy loam,15452473,15499733,7948669,0,661763,7,Yes,3021917,79,117,,4.0,1.55,
Sandy clay loam,15600644,15537565,7948669,0,661763,7,Yes,3021917,79,117,,4.0,1.55,
Very fine sandy loam,15156137,15575420,7948681,0,661764,10,Yes,3047827,64,152,,4.0,1.5,
Loamy sand,15452480,15953766,7948681,0,661764,10,Yes,3047827,64,152,,4.0,1.5,
Loamy sand,15600651,15991598,7948681,0,661764,10,Yes,3047827,64,152,,4.0,1.5,
Silt loam,15156146,15726766,7948704,0,661793,7,Yes,2970115,0,8,,4.0,1.35,
Loam,15156155,15878112,7948726,0,661771,55,Yes,3021935,8,66,,4.0,1.3,
Silt loam,15304327,15915956,7948726,0,661771,55,Yes,3021935,8,66,,4.0,1.3,
Loam,15156162,15726770,7948741,0,661803,10,Yes,3021940,0,5,,4.0,1.3,
Loam,15156164,15424083,7948746,0,661804,8,Yes,3047847,8,23,,4.0,1.53,
Loam,15452507,15953773,7948746,0,661804,8,Yes,3047847,8,23,,4.0,1.53,
Silt loam,15600678,15840261,7948746,0,661804,8,Yes,3047847,8,23,,4.0,1.53,
Coarse sand,15156171,15878116,7948759,0,661809,4,Yes,3021945,43,152,,141.0,1.55,
Loamy sand,15304343,15915960,7948759,0,661809,4,Yes,3021945,43,152,,141.0,1.55,
Loamy coarse sand,15600685,15688919,7948759,0,661809,4,Yes,3021945,43,152,,141.0,1.55,
,15156178,15726774,7948777,0,661829,2,Yes,2996043,109,165,,,,
Loamy fine sand,15156180,15424087,7948782,0,661834,6,Yes,2996045,0,20,,141.0,1.5,
Silt loam,15156194,15878122,7948815,0,661837,3,Yes,2970149,15,38,,1.41,1.5,
Silty clay loam,15600708,15537581,7948815,0,661837,3,Yes,2970149,15,38,,1.41,1.5,
Silt loam,15156196,15575435,7948820,0,661839,7,Yes,2996057,0,10,,4.0,1.35,
Loam,15156203,15424093,7948841,0,661860,2,Yes,2996063,25,56,,4.0,1.55,
Clay,15156205,15726781,7948845,0,661862,14,Yes,3021971,5,107,,0.0,1.45,
Silty clay loam,15304377,15613281,7948845,0,661862,14,Yes,3021971,5,107,,0.0,1.45,
Silty clay,15600719,15991615,7948845,0,661862,14,Yes,3021971,5,107,,0.0,1.45,
Silt loam,15156212,15575439,7948859,0,661889,3,Yes,3021975,10,48,,1.41,1.45,
Silty clay loam,15452556,15499754,7948859,0,661889,3,Yes,3021975,10,48,,1.41,1.45,
Loam,15304384,15461939,7948859,0,661889,3,Yes,3021975,10,48,,1.41,1.45,
Clay,15156214,15878127,7948862,0,661891,17,Yes,2996069,23,38,,0.42,1.43,
Silty clay,15304386,15764627,7948862,0,661891,17,Yes,2996069,23,38,,0.42,1.43,
Silty clay loam,15600728,15537586,7948862,0,661891,17,Yes,2996069,23,38,,0.42,1.43,
Clay loam,15156219,15424097,7948873,0,661900,3,Yes,3047884,38,66,,1.41,1.5,
Loam,15304391,15915972,7948873,0,661900,3,Yes,3047884,38,66,,1.41,1.5,
Silt loam,15600733,15688931,7948873,0,661900,3,Yes,3047884,38,66,,1.41,1.5,
Loam,15156221,15726785,7948878,0,661864,15,Yes,2970166,0,25,,4.0,1.33,
Silt loam,15156228,15575443,7948892,0,661905,17,Yes,3047889,76,157,,4.0,1.55,
Sandy loam,15452572,15499758,7948892,0,661905,17,Yes,3047889,76,157,,4.0,1.55,
Loam,15304400,15461943,7948892,0,661905,17,Yes,3047889,76,157,,4.0,1.55,
Loam,15156230,15878131,7948897,0,661904,31,Yes,3021985,43,152,,4.0,1.45,
Very fine sandy loam,15452574,15802446,7948897,0,661904,31,Yes,3021985,43,152,,4.0,1.45,
Silt loam,15304402,15764631,7948897,0,661904,31,Yes,3021985,43,152,,4.0,1.45,
Sandy loam,15156237,15424102,7948912,0,661896,23,Yes,2996083,71,152,,42.34,1.4,
Coarse sandy loam,15452580,15499760,7948912,0,661896,23,Yes,2996083,71,152,,42.34,1.4,
Loam,15600751,15537592,7948912,0,661896,23,Yes,2996083,71,152,,42.34,1.4,
Loam,15156239,15726790,7948917,0,661919,7,Yes,2996085,13,30,,4.0,1.33,
Loam,15304411,15915977,7948917,0,661919,7,Yes,2996085,13,30,,4.0,1.33,
Sandy loam,15156244,15424104,7948929,0,661934,8,Yes,3021996,0,30,,4.0,1.53,
Silty clay loam,15156246,15726792,7948934,0,661935,2,Yes,2970184,86,152,,1.41,1.45,
Clay loam,15304418,15764635,7948934,0,661935,2,Yes,2970184,86,152,,1.41,1.45,
Loam,15156253,15575450,7948953,0,661942,26,Yes,3047909,18,23,,4.0,1.35,
Silt loam,15304425,15764637,7948953,0,661942,26,Yes,3047909,18,23,,4.0,1.35,
Fine sandy loam,15156255,15878138,7948956,0,661914,27,Yes,3047910,0,23,,14.11,1.6,
,15156262,15726796,7948973,0,661944,5,Yes,3022009,69,91,,,,
Clay loam,15156264,15424109,7948978,0,662035,4,Yes,3022011,10,23,,4.0,1.55,
Loam,15304436,15613296,7948978,0,662035,4,Yes,3022011,10,23,,4.0,1.55,
Silt loam,15156269,15575454,7948989,0,661992,37,Yes,2970201,0,36,,4.0,1.25,
Silt loam,15156271,15878142,7948994,0,661977,42,Yes,3022016,0,38,,4.0,1.2,
Sandy loam,15156273,15575455,7948999,0,662061,4,No ,3047923,84,152,,14.0,1.58,
Sandy loam,15304445,15915986,7948999,0,662061,4,No ,3047923,84,152,,14.0,1.58,
Sandy loam,15600787,15688945,7948999,0,662061,4,No ,3047923,84,152,,14.0,1.58,
Sandy loam,15156278,15726800,7949007,0,662067,4,No ,2996113,43,104,,14.0,1.4,
Sandy loam,15600792,15840290,7949007,0,662067,4,No ,2996113,43,104,,14.0,1.4,
Silt loam,15156280,15424113,7949011,0,662030,52,No ,3022021,0,13,,4.0,0.83,
Silt loam,15156287,15878146,7949027,0,661975,2,No ,3047931,0,8,,4.0,0.8,
Silt loam,15156289,15575459,7949031,0,661997,28,No ,3022026,107,152,,4.0,1.08,
Loam,15452632,15651117,7949031,0,661997,28,No ,3022026,107,152,,4.0,1.08,
Loam,15600803,15688949,7949031,0,661997,28,No ,3022026,107,152,,4.0,1.08,
Silt loam,15156294,15726804,7949040,0,662015,6,No ,2970215,0,10,,4.0,0.75,
Loam,15156296,15424117,7949046,0,662018,14,No ,2996123,38,61,,4.0,1.45,
Loam,15452640,15651119,7949046,0,662018,14,No ,2996123,38,61,,4.0,1.45,
Silt loam,15304468,15613305,7949046,0,662018,14,No ,2996123,38,61,,4.0,1.45,
Fine sandy loam,15156298,15726805,7949048,0,662024,8,No ,3047936,114,152,,4.0,1.4,
Silt loam,15452641,15802463,7949048,0,662024,8,No ,3047936,114,152,,4.0,1.4,
Very fine sandy loam,15600812,15840295,7949048,0,662024,8,No ,3047936,114,152,,4.0,1.4,
Clay loam,15156312,15424121,7949070,0,661971,6,Yes,3022036,132,163,,1.41,1.33,
