textureName,CHtxtgrpKEY,CHTXTKEY,CHKEY,AvaWaterCon,MUKEY,ComponentPercent,MajorComponent,COKEY,TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r
Clay loam,15424770,15492656,8219650,0,661880,7,Yes,3028451,48,137,,1.41,1.45,
Loam,15276598,15757522,8219650,0,661880,7,Yes,3028451,48,137,,1.41,1.45,
Sandy clay loam,15572942,15833185,8219650,0,661880,7,Yes,3028451,48,137,,1.41,1.45,
Very fine sandy loam,15424771,15644000,8219651,0,661889,10,Yes,3054357,69,160,,4.0,1.45,
Loam,15721113,15871036,8219651,0,661889,10,Yes,3054357,69,160,,4.0,1.45,
Silt loam,15276599,15908866,8219651,0,661889,10,Yes,3054357,69,160,,4.0,1.45,
Clay,15424784,15946691,8219681,0,661865,4,Yes,3002553,18,41,,0.42,1.43,
Clay,15721127,15568352,8219681,0,661865,4,Yes,3002553,18,41,,0.42,1.43,
Clay,15572956,15530501,8219681,0,661865,4,Yes,3002553,18,41,,0.42,1.43,
Loam,15424785,15492660,8219683,0,661905,5,Yes,3054366,43,152,,4.0,1.45,
Very fine sandy loam,15721128,15719696,8219683,0,661905,5,Yes,3054366,43,152,,4.0,1.45,
Silt loam,15572957,15681845,8219683,0,661905,5,Yes,3054366,43,152,,4.0,1.45,
Fine sandy loam,15424786,15644004,8219685,0,661903,8,Yes,3028461,132,152,,14.11,1.55,
Loam,15572958,15833189,8219685,0,661903,8,Yes,3028461,132,152,,14.11,1.55,
Loam,15424787,15795348,8219688,0,661904,24,Yes,3002555,97,152,,14.11,1.68,
Sand,15424787,15946692,8219688,0,661904,24,Yes,3002555,97,152,,14.11,1.68,
Sand,15424788,15492661,8219691,0,661890,6,Yes,2976649,81,152,,141.14,1.45,
Loamy sand,15276616,15454839,8219691,0,661890,6,Yes,2976649,81,152,,141.14,1.45,
Sand,15572960,15530502,8219691,0,661890,6,Yes,2976649,81,152,,141.14,1.45,
Silty clay loam,15424801,15946696,8219727,0,661936,6,Yes,3002568,30,56,,1.41,1.5,
Silt loam,15572973,15681849,8219727,0,661936,6,Yes,3002568,30,56,,1.41,1.5,
Sandy clay loam,15424802,15492665,8219729,0,661936,2,Yes,3054381,43,97,,1.41,1.38,
Clay loam,15276630,15757530,8219729,0,661936,2,Yes,3054381,43,97,,1.41,1.38,
Loam,15572974,15833193,8219729,0,661936,2,Yes,3054381,43,97,,1.41,1.38,
Loam,15424803,15644009,8219730,0,661937,10,Yes,2976662,61,76,,4.0,1.4,
Loam,15721145,15871044,8219730,0,661937,10,Yes,2976662,61,76,,4.0,1.4,
Loam,15276631,15908874,8219730,0,661937,10,Yes,2976662,61,76,,4.0,1.4,
Clay loam,15424804,15795353,8219732,0,661938,23,Yes,3054382,25,46,,0.42,1.5,
Clay,15276632,15454843,8219732,0,661938,23,Yes,3054382,25,46,,0.42,1.5,
Loam,15424818,15492669,8219771,0,662034,19,Yes,3002581,0,43,,4.0,1.4,
Silty clay,15424819,15644013,8219773,0,662034,6,Yes,3054394,51,102,,0.0,1.55,
Silt loam,15424820,15795357,8219776,0,662038,4,Yes,3054395,0,61,,4.0,1.3,
Loam,15424821,15946701,8219778,0,661995,6,Yes,3002583,66,152,,4.0,1.35,
Loam,15276649,15606191,8219778,0,661995,6,Yes,3002583,66,152,,4.0,1.35,
Very fine sandy loam,15424834,15492673,8219807,0,662030,4,No ,3054404,38,132,,4.0,0.88,
Silt loam,15276662,15757538,8219807,0,662030,4,No ,3054404,38,132,,4.0,0.88,
,15424835,15644017,8219809,0,662029,2,No ,3002592,61,71,,,,
Silt loam,15424836,15795361,8219811,0,662046,5,No ,2976686,0,23,,4.0,0.9,
,15424837,15946705,8219813,0,662059,4,No ,2976687,0,23,,4.0,0.3,
Fine sandy loam,15424838,15492674,8219815,0,662057,5,No ,3028501,10,64,,14.0,1.35,
Sandy loam,15721180,15871053,8219815,0,662057,5,No ,3028501,10,64,,14.0,1.35,
Sandy loam,15276666,15757539,8219815,0,662057,5,No ,3028501,10,64,,14.0,1.35,
Loam,15424851,15644021,8219833,0,662015,6,Yes,3054411,86,135,48.0,14.0,1.4,
Sandy loam,15424852,15795365,8219833,0,662015,6,Yes,3054411,86,135,48.0,14.0,1.4,
Coarse sandy loam,15721194,15568369,8219833,0,662015,6,Yes,3054411,86,135,48.0,14.0,1.4,
Loam,15721195,15719713,8219833,0,662015,6,Yes,3054411,86,135,48.0,14.0,1.4,
Sandy loam,15276680,15454855,8219833,0,662015,6,Yes,3054411,86,135,48.0,14.0,1.4,
Fine sandy loam,15276681,15606199,8219833,0,662015,6,Yes,3054411,86,135,48.0,14.0,1.4,
