ksat_r_WtAvg,MUKEY
3.42911544372,661627
9.3690291105,661628
0.762718083874,661629
4.191957,661630
3.599155,661631
4.08010288172,661632
4.121384,661633
4.0,661634
9.40121352171,661635
1.59114193644,661636
3.53961533477,661637
3.65087174888,661638
2.79736351432,661639
2.94796702,661640
3.55751520404,661641
3.70731096926,661642
1.06952638655,661643
3.9616707744,661644
2.43731613488,661645
6.43138579336,661646
21.521743615,661647
29.0752790304,661648
3.69970066615,661649
3.95835576392,661650
5.0028768353,661651
14.186957182,661652
3.36161641986,661653
3.50476968201,661654
4.2343,661655
6.27060433856,661656
30.4998043222,661657
52.9637952226,661658
102.26200777,661659
4.27938619718,661660
36.5206141472,661661
16.6197878013,661662
3.81087,661663
3.95643389706,661664
26.9434350908,661665
2.89123476635,661666
3.88590979208,661667
6.40212584301,661668
4.0,661669
4.0,661670
4.39353464087,661671
5.53500316823,661672
2.3886530749,661673
2.94133818378,661674
1.89249917881,661675
4.88645257818,661676
4.0,661677
4.56282291993,661678
3.5116,661679
2.71205349474,661680
4.0,661681
5.60363494294,661682
4.69241142594,661683
3.53247857143,661684
4.0,661685
4.0,661686
4.0,661687
25.1608567003,661688
4.0,661689
4.39959981687,661690
14.7952157728,661691
13.7294930028,661692
41.1983711806,661693
3.18185263158,661694
9.45158059299,661695
5.03140007539,661696
3.45055578947,661697
3.99950187696,661698
6.95023390333,661699
4.14280247446,661700
5.30690655622,661701
5.33784771894,661702
12.7554517405,661703
1.3697322064,661704
21.6987185154,661705
6.09007363679,661706
32.2523248791,661707
2.6416131159,661708
10.9459319842,661709
4.38969283426,661710
9.30430737258,661711
15.8414420185,661712
18.1227,661713
29.6834,661714
13.6631,661715
4.4279,661716
2.66110114478,661717
0.442752061856,661718
3.37191333863,661719
6.95781729712,661720
5.21297593742,661721
2.80225621034,661722
3.94525208886,661723
7.48825992784,661724
3.1817093649,661725
25.3520485761,661726
11.6863431172,661727
95.4247550565,661728
33.252569485,661729
12.5875392181,661730
21.8523710392,661731
10.1595,661732
26.3738698832,661733
