MUKEY,ResidualWaterContent_WtAvg
661627,0.0341239674741
661628,0.045484456781
661629,0.193473651001
661630,0.0321551601279
661631,0.0155482978723
661632,0.0250648234762
661633,0.0391879183673
661634,0.027482599359
661635,0.0589398274836
661636,0.0576999805308
661637,0.0372770219682
661638,0.026163961796
661639,0.0833455227437
661640,0.101259218701
661641,0.0366917595687
661642,0.0650661322209
661643,0.19856026115
661644,0.200580510242
661645,0.0764987331697
661646,0.061904714018
661647,0.0445298531292
661648,0.0531259169927
661649,0.134071563643
661650,0.097387627639
661651,0.0277249144161
661652,0.0332531259484
661653,0.0220460233126
661654,0.0277115899582
661655,0.02724
661656,0.0305544949041
661657,0.0414718066355
661658,0.0176510843054
661659,0.0241489579541
661660,0.0268016056338
661661,0.0223437277446
661662,0.0388170017247
661663,0.0394621322537
661664,0.034935618922
661665,0.0252108166699
661666,0.0180632863662
661667,0.0369014103859
661668,0.117960655959
661669,0.0237741846412
661670,0.0265898434164
661671,0.0321186198619
661672,0.0441752354438
661673,0.0390146024291
661674,0.123830943291
661675,0.0522978594976
661676,0.0237144572576
661677,0.0248308449597
661678,0.0253163234406
661679,0.0315257142857
661680,0.0187663658253
661681,0.0252072382777
661682,0.0230857411619
661683,0.0296623823853
661684,0.0199861958152
661685,0.026789197861
661686,0.0253959493671
661687,0.0266034782609
661688,0.0228955461875
661689,0.0261486131387
661690,0.0262578611687
661691,0.0265250528608
661692,0.0598811385824
661693,0.0268540331909
661694,0.0181415081041
661695,0.0207280088953
661696,0.0303751082902
661697,0.016308283204
661698,0.0264478479086
661699,0.0348831355625
661700,0.0525109363593
661701,0.0439738382544
661702,0.02497324761
661703,0.0196673927544
661704,0.150550641576
661705,0.0297106025578
661706,0.0296692337157
661707,0.0243352939854
661708,0.0245847732131
661709,0.0231801722926
661710,0.0221082038782
661711,0.0487020491685
661712,0.0287082385022
661713,0.0241113333333
661714,0.0217657142857
661715,0.0202374520895
661716,0.022302358804
661717,0.0223173926812
661718,0.00322597241437
661719,0.0275750151057
661720,0.0324630531017
661721,0.0244067416256
661722,0.0268631398989
661723,0.0252647045497
661724,0.0272153273608
661725,0.0297467874949
661726,0.0379799496342
661727,0.0415122165723
661728,0.0268759613747
661729,0.0337684774985
661730,0.0305117535198
661731,0.0475220229251
661732,0.0266691608392
661733,0.0214027275106
661734,0.0197230247653
661735,0.0275875432047
661736,0.0306616605775
661737,0.0260249333601
661738,0.0225980489369
661739,0.0355472739798
661740,0.02598
661741,0.0318681659542
661742,0.0305998279648
661743,0.0291449568567
661744,0.0215034602076
661745,0.0137
661746,0.0089
661747,0.0257755666426
661748,0.0201793983949
661749,0.0243734422414
661750,0.0410693418604
661751,0.0321395119664
661752,0.0369344385988
661753,0.13149324168
661754,0.176711351725
661755,0.0260403458463
661756,0.0278496269384
661757,0.0354349485891
661758,0.0318826633166
661759,0.0372742306043
661760,0.0204803908916
661761,0.00265663865546
661762,0.0303058269226
661763,0.0402501675857
661764,0.0230025861347
661765,0.0519744404104
661766,0.0261706581307
661767,0.0149158367089
661768,0.0313842409347
661769,0.0215408132184
661770,0.0301693790714
661771,0.0205991954673
661772,0.0227898766395
661773,0.0359700571528
661774,0.0314324534156
661775,0.0853791231438
661776,0.042190625611
661777,0.0296979667435
661778,0.0225147772551
661779,0.0296803788293
661780,0.0388801760823
661781,0.0570666598038
661782,0.0277167961663
661783,0.0308916754129
661784,0.0347381808515
661785,0.0521795280332
661786,0.0336701381226
661787,0.029811137537
661788,0.0223864533506
661789,0.0310372283111
661790,0.0231541865086
661791,0.0335825231567
661792,0.0383964455929
661793,0.0321089146617
661794,0.0273957302419
661795,0.0350454738407
661796,0.0235367509562
661797,0.029586023716
661798,0.0277030332643
661799,0.0253701916125
661800,0.0491767028171
661801,0.0452828754637
661802,0.0257715625831
661803,0.0288745999321
661804,0.0270168203765
661805,0.0277345224225
661806,0.0467147733562
661807,0.0238388762595
661808,0.026094744649
661809,0.0391904178708
661810,0.0152918626854
661811,0.0306734309623
661812,0.061008439418
661813,0.102051017243
661814,0.0286177811134
661815,0.0481401108802
661816,0.0442879048919
661817,0.0390424484474
661818,0.0681098601884
661819,0.0237022249631
661820,0.0509625436473
661821,0.0262603415174
661822,0.150315379277
661823,0.153244691239
661824,0.0376929216678
661825,0.0396858915678
661826,0.032131449933
661827,0.0253675536139
661828,0.0412935454015
661829,0.142664648942
661830,0.0220039457105
661831,0.109727258954
661832,0.0230057789439
661833,0.0240892687825
661834,0.0271104595453
661835,0.0290565887518
661836,0.0659535726434
661837,0.0280746415051
661838,0.023849220578
661839,0.0887241496281
661840,0.031915601627
661841,0.0251324958403
661842,0.0173517427036
661843,0.0210387081052
661844,0.0100718135833
661845,0.109330679741
661846,0.0303149007902
661847,0.0524086814249
661848,0.0608840015693
661849,0.0343100637743
661850,0.0571660148885
661851,0.0501271430438
661852,0.0280926974356
661853,0.0287253687122
661854,0.0236102904719
661855,0.029622979058
661856,0.028317313908
661857,0.0294155141346
661858,0.0220733304703
661859,0.0384434209584
661860,0.0393844497406
661861,0.0349695213099
661862,0.136075876102
661863,0.0310336336029
661864,0.0411170146745
661865,0.072302476556
661866,0.0329601115782
661867,0.063249996892
661868,0.0439553121041
661869,0.0415672629384
661870,0.0385493069549
661871,0.0169339344262
661872,0.0194831119374
661873,0.0379482940813
661874,0.0394513037299
661875,0.0257386473105
661876,0.121323784126
661877,0.0342634556572
661878,0.0558074751908
661879,0.0403038334291
661880,0.0265654738051
661881,0.0740858904836
661882,0.0944779841429
661883,0.0426200281444
661884,0.0526052002127
661885,0.0465079008512
661886,0.0390793357903
661887,0.0195221750134
661888,0.0265544236539
661889,0.039573113188
661890,0.0289706189632
661891,0.0533040523537
661892,0.0279231630011
661893,0.0270574391806
661894,0.0275780348083
661895,0.0333171044779
661896,0.033913251083
661897,0.0299396830471
661898,0.0289889155422
661899,0.0325534506032
661900,0.0324299797002
661901,0.0778427353463
661902,0.0272725329254
661903,0.0276290127413
661904,0.0241795382312
661905,0.0251990762093
661906,0.0821786800041
661907,0.0340322448861
661908,0.0540972632689
661909,0.0362032324241
661910,0.0351757891414
661911,0.0353561684289
661912,0.042022681351
661913,0.0243960835452
661914,0.0304814295808
661915,0.00412337392667
661916,0.0337776751151
661917,0.0363043540517
661918,0.0108202491103
661919,0.0366887078513
661920,0.0123071428571
661921,0.00665377075207
661922,0.0311939451293
661923,0.0299551973684
661924,0.0223576423488
661925,0.0314413727745
661926,0.0359399342105
661927,0.0277146052632
661928,0.0286144661385
661929,0.0078002759345
661930,0.056479014625
