ComponentPercent,MajorComponent,MUKEY,COKEY
20,Yes,661646,3048006
5,Yes,661646,3067436
2,Yes,661647,3048007
31,Yes,661647,2996194
2,Yes,661647,3041531
4,Yes,661647,3002671
4,Yes,661647,3022101
2,Yes,661647,2983241
34,Yes,661647,2989717
2,Yes,661647,3028578
7,Yes,661647,2976764
5,Yes,661647,3015624
7,Yes,661647,3060960
1,Yes,661648,3067438
5,Yes,661648,2996195
5,Yes,661648,3015625
1,Yes,661648,3048008
2,Yes,661648,2983242
1,Yes,661648,3009149
13,Yes,661648,3054484
6,Yes,661648,3067437
5,Yes,661648,3022102
11,Yes,661648,3035055
7,Yes,661648,2970288
1,Yes,661648,3028579
2,Yes,661648,3041532
4,Yes,661648,3002672
15,Yes,661648,3009148
6,Yes,661648,2976765
7,Yes,661648,2989718
2,Yes,661648,2989798
6,Yes,661648,3060961
12,Yes,661649,2976750
10,Yes,661649,3002657
2,Yes,661649,3009134
2,Yes,661649,3028564
5,Yes,661649,3041517
11,Yes,661649,3022087
5,Yes,661649,2983227
15,Yes,661649,2996180
19,Yes,661649,3015610
2,Yes,661649,3047993
17,Yes,661649,3060946
14,No ,661650,3028589
14,No ,661650,3035066
14,No ,661650,2970299
7,No ,661650,3009159
14,No ,661650,3054495
18,No ,661650,3048018
19,No ,661650,3067448
52,Yes,661651,3047772
6,Yes,661651,3067202
3,Yes,661651,2970053
15,Yes,661651,3008913
24,Yes,661651,3028343
9,Yes,661652,3067488
8,Yes,661652,3035106
5,Yes,661652,2976816
29,Yes,661652,3028629
6,Yes,661652,2996246
22,Yes,661652,3009199
6,Yes,661652,3054535
7,Yes,661652,2989769
8,Yes,661652,2970339
5,No ,661653,3055711
3,No ,661653,2977992
9,No ,661653,2997422
7,No ,661653,3010375
36,No ,661653,3042758
1,No ,661653,3016852
39,No ,661653,3036282
5,Yes,661654,2976530
8,Yes,661654,2989483
2,Yes,661654,3023329
54,Yes,661654,3054249
25,Yes,661654,3034820
6,Yes,661654,2995960
1,No ,661655,2990946
5,No ,661655,3029806
31,No ,661655,3055712
9,No ,661655,3010376
6,No ,661655,2984469
1,No ,661655,2971516
2,No ,661655,3049235
40,No ,661655,3003899
3,No ,661655,2965039
2,No ,661655,3062188
5,No ,661656,2983253
13,No ,661656,3015636
7,No ,661656,3002683
6,No ,661656,3060972
10,No ,661656,3022113
20,No ,661656,2996206
13,No ,661656,2976776
26,No ,661656,2989729
30,Yes,661657,3015390
11,Yes,661657,3002437
5,Yes,661657,2983007
15,Yes,661657,3021867
4,Yes,661657,3041297
4,Yes,661657,3047773
31,Yes,661657,3060726
19,No ,661658,3023330
11,No ,661658,2977993
7,No ,661658,2997423
33,No ,661658,3042759
3,No ,661658,3016853
27,No ,661658,3036283
25,No ,661659,2965040
69,No ,661659,3062189
6,No ,661659,3003900
19,No ,661660,3010377
15,No ,661660,3055713
11,No ,661660,2971517
39,No ,661660,2984470
8,No ,661660,3049236
2,No ,661660,3016854
2,No ,661660,3029807
2,No ,661660,2977994
1,No ,661660,2997424
1,No ,661660,2990947
4,No ,661661,2965041
4,No ,661661,3036284
4,No ,661661,3062190
44,No ,661661,3003901
37,No ,661661,3042760
7,No ,661661,3023331
2,No ,661662,2971518
39,No ,661662,3010378
1,No ,661662,3055714
1,No ,661662,2984471
7,No ,661662,3016855
19,No ,661662,2997425
19,No ,661662,3029808
4,No ,661662,2990948
8,No ,661662,3049237
2,No ,661663,3023332
2,No ,661663,2977995
42,No ,661663,3042761
18,No ,661663,3062191
10,No ,661663,3036285
26,No ,661663,3003902
22,No ,661664,3029809
28,No ,661664,3049238
2,No ,661664,2990949
31,No ,661664,2965042
17,No ,661664,2984472
6,No ,661665,3042762
2,No ,661665,2997426
2,No ,661665,2977996
5,No ,661665,2984473
7,No ,661665,2990950
2,No ,661665,3049239
6,No ,661665,2971520
2,No ,661665,3003903
11,No ,661665,3016856
2,No ,661665,3036286
3,No ,661665,2971519
3,No ,661665,3055715
7,No ,661665,3029810
2,No ,661665,3023333
25,No ,661665,2965043
13,No ,661665,3010379
2,No ,661665,3062192
9,No ,661666,3003904
10,No ,661666,3010380
4,No ,661666,3042763
22,No ,661666,3055716
2,No ,661666,3029811
16,No ,661666,3016857
4,No ,661666,2965044
7,No ,661666,2997427
8,No ,661666,3049240
2,No ,661666,3062193
4,No ,661666,2977997
7,No ,661666,3023334
5,No ,661666,3036287
9,No ,661667,3023335
3,No ,661667,2984474
15,No ,661667,2971521
6,No ,661667,2990951
7,No ,661667,3055717
9,No ,661667,3042764
9,No ,661667,3010381
6,No ,661667,2977998
4,No ,661667,3016858
29,No ,661667,3036288
3,No ,661667,2997428
6,Yes,661668,3022096
25,Yes,661668,3015619
37,Yes,661668,2996189
18,Yes,661668,3060955
14,Yes,661668,2976759
3,Yes,661669,2989484
5,Yes,661669,3054250
6,Yes,661669,2970054
55,Yes,661669,3028344
3,Yes,661669,2995961
16,Yes,661669,3008914
3,Yes,661669,3034821
9,Yes,661669,3067203
31,Yes,661670,2976531
31,Yes,661670,3060727
7,Yes,661670,3021868
6,Yes,661670,3002438
5,Yes,661670,3041298
8,Yes,661670,3015391
6,Yes,661670,3047774
6,Yes,661670,2983008
29,Yes,661671,3015618
8,Yes,661671,3002665
37,Yes,661671,3060954
5,Yes,661671,3041525
10,Yes,661671,3022095
6,Yes,661671,2983235
5,Yes,661671,3048001
3,Yes,661672,2976758
4,Yes,661672,3009141
