"2"|"10312875"|"2245458"
"3"|"10312875"|"2245459"
"3"|"10312876"|"2245426"
"2"|"10312876"|"2245427"
"2"|"10312877"|"2245446"
"2"|"10312878"|"2245417"
"2"|"10312940"|"2245448"
"4"|"10312942"|"2245469"
"2"|"10312944"|"2245414"
"2"|"10312945"|"2245416"
"2"|"10312958"|"2245465"
"2"|"10312959"|"2245467"
"2"|"10312962"|"2245449"
"4"|"10312964"|"2245422"
"4"|"10312969"|"2245456"
"2"|"10312970"|"2245450"
"2"|"10312995"|"2245415"
"2"|"10312998"|"2245429"
"2"|"10313000"|"2245430"
"2"|"10313085"|"2245431"
"2"|"10313089"|"2245468"
"2"|"10313136"|"2245462"
"2"|"10313142"|"2245463"
"2"|"10313148"|"2245464"
"2"|"10313153"|"2245472"
"2"|"10313154"|"2245466"
"2"|"10313157"|"2245451"
"2"|"10313158"|"2245473"
"4"|"10313164"|"2245439"
"2"|"10313165"|"2245437"
"4"|"10313165"|"2245438"
"2"|"10313212"|"2245428"
"2"|"10313214"|"2245420"
"4"|"10313214"|"2245421"
"2"|"10313220"|"2245454"
"4"|"10313220"|"2245455"
"3"|"10313277"|"2245452"
"2"|"10313277"|"2245453"
"2"|"10313280"|"2245423"
"2"|"10313281"|"2245418"
"3"|"10313281"|"2245419"
"2"|"10313282"|"2245442"
"3"|"10313282"|"2245443"
"2"|"10313283"|"2245432"
"2"|"10313284"|"2245444"
"3"|"10313284"|"2245445"
"2"|"10313285"|"2245424"
"3"|"10313285"|"2245425"
"3"|"10313287"|"2245470"
"2"|"10313287"|"2245471"
"2"|"10313290"|"2245457"
"3"|"10313292"|"2245433"
"2"|"10313292"|"2245434"
"2"|"10313293"|"2245435"
"3"|"10313293"|"2245436"
"2"|"10313294"|"2245440"
"3"|"10313294"|"2245441"
"2"|"10313296"|"2245460"
"3"|"10313296"|"2245461"
"2"|"10313299"|"2245447"
