"mixed"|"10313024"|"8037247"
"mixed"|"10313025"|"8037248"
"montmorillonitic"|"10313028"|"8037297"
"mixed"|"10313029"|"8037298"
"montmorillonitic"|"10313030"|"8037249"
"montmorillonitic"|"10313033"|"8037201"
"montmorillonitic"|"10313034"|"8037250"
"montmorillonitic"|"10313035"|"8037251"
"montmorillonitic"|"10313036"|"8037202"
"montmorillonitic"|"10313037"|"8037186"
"montmorillonitic"|"10313038"|"8037155"
"montmorillonitic"|"10313039"|"8037156"
"montmorillonitic"|"10313040"|"8037157"
"montmorillonitic"|"10313042"|"8037252"
"montmorillonitic"|"10313043"|"8037158"
"mixed"|"10313045"|"8037203"
"mixed"|"10313047"|"8037253"
"mixed"|"10313052"|"8037299"
"mixed"|"10313053"|"8037204"
"mixed"|"10313055"|"8037300"
"mixed"|"10313058"|"8037301"
"mixed"|"10313062"|"8037302"
"mixed"|"10313066"|"8037205"
"mixed"|"10313069"|"8037254"
"mixed"|"10313071"|"8037206"
"mixed"|"10313072"|"8037255"
"mixed"|"10313077"|"8037159"
"mixed"|"10313078"|"8037160"
"mixed"|"10313080"|"8037161"
"mixed"|"10313082"|"8037162"
"mixed"|"10313083"|"8037256"
"mixed"|"10313085"|"8037324"
"mixed"|"10313086"|"8037207"
"mixed"|"10313088"|"8037208"
"mixed"|"10313089"|"8037177"
"mixed"|"10313091"|"8037303"
"mixed"|"10313092"|"8037304"
"mixed"|"10313097"|"8037305"
"mixed"|"10313099"|"8037306"
"mixed"|"10313102"|"8037257"
"mixed"|"10313105"|"8037209"
"mixed"|"10313107"|"8037258"
"mixed"|"10313108"|"8037210"
"mixed"|"10313111"|"8037163"
"mixed"|"10313114"|"8037164"
"mixed"|"10313116"|"8037165"
"mixed"|"10313118"|"8037166"
"mixed"|"10313119"|"8037211"
"mixed"|"10313120"|"8037212"
"mixed"|"10313122"|"8037259"
"mixed"|"10313123"|"8037260"
"mixed"|"10313125"|"8037307"
"mixed"|"10313129"|"8037308"
"mixed"|"10313132"|"8037309"
"mixed"|"10313136"|"8037234"
"mixed"|"10313137"|"8037310"
"mixed"|"10313140"|"8037261"
"mixed"|"10313142"|"8037180"
"mixed"|"10313145"|"8037262"
"mixed"|"10313148"|"8037181"
"mixed"|"10313150"|"8037213"
"mixed"|"10313153"|"8037167"
"mixed"|"10313154"|"8037183"
"mixed"|"10313157"|"8037230"
"mixed"|"10313158"|"8037168"
"not used"|"10313164"|"8037319"
"montmorillonitic"|"10313166"|"8037311"
"mixed"|"10313169"|"8037214"
"mixed"|"10313174"|"8037312"
"mixed"|"10313176"|"8037313"
"mixed"|"10313179"|"8037314"
"carbonatic"|"10313182"|"8037215"
"mixed"|"10313189"|"8037263"
"mixed"|"10313190"|"8037320"
"mixed"|"10313192"|"8037216"
"mixed"|"10313193"|"8037187"
"mixed"|"10313195"|"8037264"
"mixed"|"10313197"|"8037169"
"mixed"|"10313198"|"8037170"
"not used"|"10313199"|"8037225"
"mixed"|"10313205"|"8037171"
"mixed"|"10313209"|"8037172"
"mixed"|"10313210"|"8037217"
"mixed"|"10313212"|"8037265"
"not used"|"10313215"|"8037272"
"mixed"|"10313223"|"8037218"
"mixed"|"10313229"|"8037266"
"mixed"|"10313231"|"8037219"
"mixed"|"10313235"|"8037173"
"mixed"|"10313237"|"8037174"
"mixed"|"10313242"|"8037175"
"mixed"|"10313243"|"8037176"
"mixed"|"10313246"|"8037273"
"mixed"|"10313247"|"8037321"
"mixed"|"10313250"|"8037220"
"mixed"|"10313255"|"8037267"
"mixed"|"10313258"|"8037221"
"mixed"|"10313259"|"8037268"
"montmorillonitic"|"10313262"|"8037315"
"mixed"|"10313263"|"8037316"
"mixed"|"10313266"|"8037317"
"mixed"|"10313272"|"8037222"
"mixed"|"10313273"|"8037269"
"mixed"|"10313277"|"8037223"
"mixed"|"10313280"|"8037279"
"mixed"|"10313281"|"8037270"
"mixed"|"10313282"|"8037329"
"mixed"|"10313283"|"8037325"
"mixed"|"10313284"|"8037330"
"mixed"|"10313285"|"8037280"
"mixed"|"10313286"|"8037277"
"mixed"|"10313287"|"8037185"
"mixed"|"10313290"|"8037231"
"mixed"|"10313292"|"8037326"
"mixed"|"10313293"|"8037327"
"mixed"|"10313294"|"8037328"
"mixed"|"10313296"|"8037233"
"carbonatic"|"10313297"|"8037188"
"mixed"|"10313298"|"8037283"
"mixed"|"10313299"|"8037284"
"mixed"|"10313300"|"8037235"
