||"Tread"||"14354300"|"4393194"
||"Riser"||"14354301"|"4393196"
||"Riser"||"14354302"|"4393195"
"Mountainflank"||||"14354303"|"4393197"
||"Tread"||"14354304"|"4393134"
||"Tread"||"14354306"|"4393135"
||"Tread"||"14354308"|"4393057"
||"Tread"||"14354309"|"4392980"
|||"Talf"|"14354310"|"4393058"
|||"Rise"|"14354310"|"4393059"
|||"Talf"|"14354311"|"4393060"
|||"Rise"|"14354311"|"4393061"
||"Tread"||"14354312"|"4393100"
|||"Talf"|"14354313"|"4393062"
|||"Rise"|"14354313"|"4393063"
||"Tread"||"14354314"|"4393167"
|||"Talf"|"14354315"|"4393136"
|||"Rise"|"14354315"|"4393137"
|||"Talf"|"14354316"|"4393138"
|||"Dip"|"14354316"|"4393139"
|||"Talf"|"14354317"|"4393027"
|||"Dip"|"14354317"|"4393028"
|||"Talf"|"14354318"|"4393021"
|||"Dip"|"14354318"|"4393022"
|||"Talf"|"14354319"|"4393001"
|||"Dip"|"14354319"|"4393002"
|||"Talf"|"14354320"|"4393157"
|||"Dip"|"14354320"|"4393158"
|||"Talf"|"14354321"|"4393155"
|||"Dip"|"14354321"|"4393156"
||"Tread"||"14354324"|"4393198"
||"Tread"||"14354325"|"4393140"
||"Tread"||"14354328"|"4393141"
||"Tread"||"14354329"|"4393064"
||"Tread"||"14354330"|"4393065"
||"Tread"||"14354333"|"4393066"
||"Tread"||"14354336"|"4393067"
||"Riser"||"14354337"|"4393142"
||"Tread"||"14354338"|"4393003"
|||"Talf"|"14354339"|"4393083"
|||"Dip"|"14354339"|"4393084"
"Mountainflank"||||"14354341"|"4393085"
"Mountainflank"||||"14354342"|"4393004"
"Mountainflank"||||"14354343"|"4393162"
|"Interfluve"|||"14354344"|"4393143"
|"Crest"|||"14354344"|"4393144"
||"Tread"||"14354345"|"4393199"
|||"Talf"|"14354346"|"4393200"
|||"Dip"|"14354346"|"4393201"
|||"Talf"|"14354347"|"4392960"
|||"Dip"|"14354347"|"4392961"
|||"Talf"|"14354348"|"4393081"
|||"Dip"|"14354348"|"4393082"
|"Side Slope"|||"14354349"|"4392963"
"Mountainflank"||||"14354350"|"4393086"
||"Tread"||"14354353"|"4393005"
|||"Talf"|"14354354"|"4393145"
|||"Dip"|"14354354"|"4393146"
|||"Talf"|"14354355"|"4393075"
|||"Dip"|"14354355"|"4393076"
||"Tread"||"14354357"|"4393068"
||"Tread"||"14354358"|"4393069"
||"Tread"||"14354361"|"4393070"
||"Tread"||"14354362"|"4393006"
||"Tread"||"14354364"|"4393147"
||"Tread"||"14354365"|"4393202"
||"Tread"||"14354366"|"4393203"
||"Tread"||"14354371"|"4393204"
||"Tread"||"14354372"|"4393205"
"Mountainflank"||||"14354373"|"4393148"
"Mountainflank"||||"14354374"|"4393007"
"Mountainflank"||||"14354375"|"4392962"
"Mountainflank"||||"14354376"|"4393149"
||"Tread"||"14354381"|"4393071"
||"Tread"||"14354382"|"4393072"
|||"Talf"|"14354383"|"4393170"
|||"Rise"|"14354383"|"4393171"
|||"Talf"|"14354384"|"4393152"
|||"Dip"|"14354384"|"4393153"
|||"Talf"|"14354385"|"4393017"
|||"Dip"|"14354385"|"4393018"
|||"Talf"|"14354386"|"4392972"
|||"Dip"|"14354386"|"4392973"
|||"Talf"|"14354387"|"4393103"
|||"Dip"|"14354387"|"4393104"
|||"Talf"|"14354388"|"4393091"
|||"Dip"|"14354388"|"4393092"
|||"Talf"|"14354389"|"4393093"
|||"Dip"|"14354389"|"4393094"
|||"Talf"|"14354390"|"4392976"
|||"Rise"|"14354390"|"4392977"
||"Tread"||"14354391"|"4393102"
|||"Talf"|"14354392"|"4393035"
|||"Dip"|"14354392"|"4393036"
|||"Talf"|"14354393"|"4393150"
|||"Dip"|"14354393"|"4393151"
|||"Talf"|"14354394"|"4392978"
|||"Dip"|"14354394"|"4392979"
|||"Talf"|"14354395"|"4393019"
|||"Dip"|"14354395"|"4393020"
|||"Talf"|"14354396"|"4393073"
|||"Dip"|"14354396"|"4393074"
|||"Talf"|"14354397"|"4393097"
|||"Rise"|"14354397"|"4393098"
||"Riser"||"14354399"|"4392971"
|||"Talf"|"14354400"|"4392969"
|||"Rise"|"14354400"|"4392970"
||"Tread"||"14354401"|"4393163"
|||"Talf"|"14354402"|"4393031"
|||"Rise"|"14354402"|"4393032"
