"Aquic"|"10312876"|"3002404"
"Aquic"|"10312877"|"3002392"
"Aquic"|"10312954"|"3002395"
"Aquic"|"10312965"|"3002383"
"Aquic"|"10312967"|"3002384"
"Xeric"|"10312996"|"3002385"
"Xeric"|"10312997"|"3002386"
"Xeric"|"10312999"|"3002387"
"Xeric"|"10313066"|"3002406"
"Xeric"|"10313069"|"3002396"
"Xeric"|"10313071"|"3002407"
"Xeric"|"10313072"|"3002397"
"Xeric"|"10313077"|"3002414"
"Xeric"|"10313078"|"3002415"
"Xeric"|"10313080"|"3002416"
"Xeric"|"10313082"|"3002417"
"Xeric"|"10313083"|"3002398"
"Xeric"|"10313086"|"3002408"
"Xeric"|"10313088"|"3002409"
"Xeric"|"10313137"|"3002388"
"Xeric"|"10313140"|"3002399"
"Xeric"|"10313145"|"3002400"
"Xeric"|"10313150"|"3002410"
"Aquic"|"10313153"|"3002418"
"Aquic"|"10313158"|"3002419"
"Xeric"|"10313174"|"3002389"
"Xeric"|"10313176"|"3002390"
"Xeric"|"10313179"|"3002391"
"Xeric"|"10313223"|"3002411"
"Xeric"|"10313229"|"3002401"
"Xeric"|"10313231"|"3002412"
"Xeric"|"10313235"|"3002420"
"Xeric"|"10313237"|"3002421"
"Aquic"|"10313277"|"3002405"
"Aquic"|"10313281"|"3002393"
"Aquic"|"10313283"|"3002380"
"Aquic"|"10313285"|"3002403"
"Xeric"|"10313286"|"3002394"
"Aquic"|"10313287"|"3002422"
"Aquic"|"10313292"|"3002381"
"Aquic"|"10313293"|"3002382"
"Xeric"|"10313297"|"3002413"
"Xeric"|"10313300"|"3002402"
