"A11"||"H"||||0|||23|||||0|3|5|0|5|10|55|60|65|50|55|60|30|35|40|15|20|25||66.8|||4.4|||14.3|||17.7|||19.8|||10.6|||19.2||||||||10|14|18||||2|3.5|5||||1.35|1.43|1.5|||||1.53|||14.11|28.23|42.34|0.07|0.08|0.09|||||14.3|||8.3|||21||0|1.5|2.9|20|25|30|0|5|10|0|0|0|".10"|".17"|0|0|0|0|0|0|0|0|0|0|1|2|5|10|15|||||||7.4|7.6|7.8|||||||||||||||||||||||||||||||||"10312887"|"29203522"
"B2"||"H"||||51|||132|||||0|5|10|0|15|30|25|35|45|20|30|40|10|20|30|5|10|15||66.8|||4.4|||14.3|||17.7|||19.8|||10.6|||19.2||||||||10|14|18||||0|0.5|1||||1.35|1.43|1.5|||||1.61|||14.11|28.23|42.34|0.05|0.07|0.08|||||6.8|||3.2|||10||0|1.5|2.9|20|25|30|0|5|10|0|0|0|".05"|".24"|0|0|0|0|0|0|0|0|0|0|1|2|0|5|10|||||||7.4|7.6|7.8|||||||||||||||||||||||||||||||||"10312887"|"29203523"
"C1"||"H"||||132|||183|||||0|5|10|0|15|30|15|25|35|10|20|30|5|12.5|20|0|7.5|15||66.8|||4.4|||14.3|||17.7|||19.8|||10.6|||19.2||||||||10|14|18||||0|0.5|1||||1.35|1.43|1.5|||||1.69|||14.11|28.23|42.34|0.04|0.05|0.06|||||4.8|||2.3|||||0|1.5|2.9|20|25|30|0|5|10|0|0|0|".05"|".24"|3|9|15|0|0|0|0|0|0|0|1|2|0|5|10|||||||7.9|8.2|8.4|||||||||||||||||||||||||||||||||"10312887"|"29203524"
"A12"||"H"||||23|||51|||||0|5|10|0|15|30|25|35|45|20|30|40|10|20|30|5|10|15||66.8|||4.4|||14.3|||17.7|||19.8|||10.6|||19.2||||||||10|14|18||||0|0.5|1||||1.35|1.43|1.5|||||1.61|||14.11|28.23|42.34|0.05|0.07|0.08|||||6.8|||3.2|||10||0|1.5|2.9|20|25|30|0|5|10|0|0|0|".05"|".24"|0|0|0|0|0|0|0|0|0|0|1|2|0|5|10|||||||7.4|7.6|7.8|||||||||||||||||||||||||||||||||"10312887"|"29203525"
"A1"||"H"||||0|||18|||||0|8|15|35|43|50|50|62.5|75|45|57.5|70|35|52.5|70|35|50|65||24.8|||1.9|||2.8|||4|||7.8|||8.3|||52.7||||||||18|22.5|27||||2|3|4||||1.1|1.13|1.15|||||1.24|||4.23|9.17|14.11|0.1|0.11|0.12|||||13.6|||6.4|||15||0|1.5|2.9|25|30|35|5|10|15|0|2|7|".15"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|10|20|30|||||||7.9|8.2|8.4|||||||||||||||||||||||||||||||||"10312890"|"29203526"
"C1"||"H"||||18|||38|||||0|8|15|35|43|50|50|62.5|75|45|57.5|70|35|52.5|70|35|50|65||24.8|||1.9|||2.8|||4|||7.8|||8.3|||52.7||||||||18|22.5|27||||1|1.5|2||||1.1|1.13|1.15|||||1.24|||4.23|9.17|14.11|0.1|0.11|0.12|||||13.1|||5.6|||15||0|1.5|2.9|25|30|35|5|10|15|0|2|7|".15"|".43"|0|2|3|0|0|0|0|0|0|0|0|0|10|17.5|25|||||||7.9|8.2|8.4|||||||||||||||||||||||||||||||||"10312890"|"29203527"
"R"||"H"||||38|||63||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0.71|1.41||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"10312890"|"29203528"
"B2"||"H"||||51|||132|||||0|8|15|35|45|55|35|45|55|30|40|50|25|37.5|50|20|27.5|35||30.4|||2.5|||3.6|||5|||9.5|||9.8|||55.6||||||||10|14|18||||0|0.5|1||||1.15|1.23|1.3|||||1.4|||4.23|9.17|14.11|0.08|0.09|0.1|||||7.7|||2.5|||||0|1.5|2.9|20|25|30|0|5|10|0|0|0|".15"|".49"|0|0|0|0|0|0|0|0|0|0|1|2|0|5|10|||||||7.4|7.6|7.8|||||||||||||||||||||||||||||||||"10312892"|"29203529"
"A11"||"H"||||0|||23|||||0|5|10|25|35|45|45|55|65|40|50|60|35|47.5|60|30|40|50||30.4|||2.5|||3.6|||5|||9.5|||9.8|||55.6||||||||10|14|18||||2|3.5|5||||1.15|1.23|1.3|||||1.35|||4.23|9.17|14.11|0.09|0.11|0.13|||||12.8|||5.3|||14||0|1.5|2.9|20|25|30|0|5|10|0|0|2|".15"|".43"|0|0|0|0|0|0|0|0|0|0|1|2|5|10|15|||||||7.4|7.6|7.8|||||||||||||||||||||||||||||||||"10312892"|"29203530"
"A12"||"H"||||23|||51|||||0|8|15|25|35|45|45|55|65|40|50|60|35|47.5|60|30|40|50||30.4|||2.5|||3.6|||5|||9.5|||9.8|||55.6||||||||10|14|18||||1|2|3||||1.15|1.23|1.3|||||1.35|||4.23|9.17|14.11|0.09|0.11|0.13|||||11.6|||4.3|||14||0|1.5|2.9|20|25|30|0|5|10|0|0|2|".15"|".49"|0|0|0|0|0|0|0|0|0|0|1|2|5|10|15|||||||7.4|7.6|7.8|||||||||||||||||||||||||||||||||"10312892"|"29203531"
"C1"||"H"||||132|||183|||||0|8|15|45|53|60|25|35|45|20|30|40|15|27.5|40|15|25|35||30.4|||2.5|||3.6|||5|||9.5|||9.8|||55.6||||||||10|14|18||||0|0.5|1||||1.15|1.23|1.3|||||1.5|||4.23|9.17|14.11|0.07|0.08|0.09|||||5.2|||1.7|||||0|1.5|2.9|20|25|30|0|5|10|0|0|0|".15"|".49"|3|9|15|0|0|0|0|0|0|0|1|2|0|5|10|||||||7.9|8.2|8.4|||||||||||||||||||||||||||||||||"10312892"|"29203532"
