"i"|"29203639"|"9881140"
"i"|"29204188"|"9881153"
"g"|"29203494"|"9881151"
"z"|"29203494"|"9881152"
"i"|"29204178"|"9881154"
"g"|"29204401"|"9881156"
"g"|"29204403"|"9881158"
"g"|"29204410"|"9881135"
"z"|"29204410"|"9881136"
"g"|"29204412"|"9881138"
"z"|"29204412"|"9881139"
"g"|"29204419"|"9881162"
"z"|"29204419"|"9881163"
"i"|"29204388"|"9881145"
"g"|"29204402"|"9881157"
"z"|"29204411"|"9881137"
"z"|"29204418"|"9881161"
"i"|"29204420"|"9881155"
"z"|"29203495"|"9881144"
"g"|"29203496"|"9881133"
"z"|"29203496"|"9881134"
"i"|"29203665"|"9881132"
"i"|"29204183"|"9881146"
"z"|"29204381"|"9881147"
"g"|"29204382"|"9881141"
"z"|"29204382"|"9881142"
"g"|"29204383"|"9881148"
"z"|"29204383"|"9881149"
"i"|"29204399"|"9881143"
"g"|"29204400"|"9881150"
"g"|"29204417"|"9881159"
"z"|"29204417"|"9881160"
