"A-4"|"Yes"|"29203494"|"47752487"
"A-7"|"Yes"|"29203495"|"47752488"
"A-7"|"Yes"|"29203496"|"47752489"
"A-6"|"Yes"|"29203497"|"47752490"
"A-6"|"Yes"|"29203498"|"47752491"
"A-4"|"Yes"|"29203499"|"47752492"
"A-7"|"Yes"|"29203500"|"47752493"
"A-4"|"Yes"|"29203501"|"47752494"
"A-4"|"Yes"|"29203502"|"47752495"
"A-4"|"Yes"|"29203503"|"47752496"
"A-4"|"Yes"|"29203504"|"47752497"
"A-2"|"No "|"29203505"|"47752498"
"A-4"|"Yes"|"29203505"|"47752499"
"A-4"|"Yes"|"29203506"|"47752500"
"A-4"|"Yes"|"29203507"|"47752501"
"A-4"|"Yes"|"29203508"|"47752502"
"A-4"|"Yes"|"29203509"|"47752503"
"A-2"|"No "|"29203510"|"47752504"
"A-4"|"Yes"|"29203510"|"47752505"
"A-4"|"Yes"|"29203511"|"47752506"
"A-6"|"No "|"29203511"|"47752507"
"A-4"|"Yes"|"29203512"|"47752508"
"A-6"|"No "|"29203512"|"47752509"
"A-2"|"No "|"29203514"|"47752510"
"A-6"|"Yes"|"29203514"|"47752511"
"A-2"|"No "|"29203515"|"47752512"
"A-6"|"Yes"|"29203515"|"47752513"
"A-2"|"No "|"29203516"|"47752514"
"A-6"|"No "|"29203516"|"47752515"
"A-2-6"|"Yes"|"29203516"|"47752516"
"A-6"|"No "|"29203517"|"47752517"
"A-7"|"No "|"29203517"|"47752518"
"A-2-6"|"Yes"|"29203517"|"47752519"
"A-2"|"No "|"29203517"|"47752520"
"A-2"|"No "|"29203518"|"47752521"
"A-2-4"|"Yes"|"29203518"|"47752522"
"A-1-b"|"Yes"|"29203519"|"47752523"
"A-1-a"|"Yes"|"29203520"|"47752524"
"A-1"|"No "|"29203520"|"47752525"
"A-1"|"No "|"29203522"|"47752526"
"A-2"|"No "|"29203522"|"47752527"
"A-1-b"|"Yes"|"29203522"|"47752528"
"A-1"|"No "|"29203523"|"47752529"
