0|"246202"|"482865"|"13787364"
2573|"246203"|"482865"|"13787576"
2573|"246205"|"482865"|"13787774"
2573|"246212"|"482865"|"13787970"
|"246213"|"482865"|"13788001"
0|"246202"|"482866"|"13787365"
2746|"246203"|"482866"|"13787577"
2746|"246205"|"482866"|"13787773"
2746|"246212"|"482866"|"13787969"
|"246213"|"482866"|"13788000"
0|"246202"|"482867"|"13787366"
308|"246203"|"482867"|"13787578"
308|"246205"|"482867"|"13787772"
308|"246212"|"482867"|"13787968"
1|"246202"|"482868"|"13787367"
9947|"246203"|"482868"|"13787579"
9948|"246205"|"482868"|"13787771"
9948|"246212"|"482868"|"13787967"
|"246213"|"482868"|"13787999"
0|"246202"|"482869"|"13787368"
5485|"246203"|"482869"|"13787580"
5485|"246204"|"482869"|"13787434"
5485|"246212"|"482869"|"13787966"
0|"246202"|"482870"|"13787369"
3953|"246203"|"482870"|"13787581"
3953|"246204"|"482870"|"13787433"
3953|"246212"|"482870"|"13787965"
0|"246202"|"482871"|"13787370"
553|"246203"|"482871"|"13787582"
553|"246205"|"482871"|"13787770"
553|"246212"|"482871"|"13787964"
0|"246202"|"482872"|"13787371"
1256|"246203"|"482872"|"13787583"
1256|"246204"|"482872"|"13787432"
|"246211"|"482872"|"13787833"
1256|"246212"|"482872"|"13787963"
0|"246202"|"482873"|"13787372"
8612|"246203"|"482873"|"13787584"
8612|"246204"|"482873"|"13787431"
|"246211"|"482873"|"13787832"
8612|"246212"|"482873"|"13787962"
0|"246202"|"482874"|"13787373"
7125|"246203"|"482874"|"13787585"
7125|"246204"|"482874"|"13787430"
|"246211"|"482874"|"13787831"
7125|"246212"|"482874"|"13787961"
0|"246202"|"482875"|"13787374"
623|"246203"|"482875"|"13787586"
623|"246204"|"482875"|"13787429"
|"246211"|"482875"|"13787830"
623|"246212"|"482875"|"13787960"
0|"246202"|"482876"|"13787375"
3909|"246203"|"482876"|"13787587"
3909|"246204"|"482876"|"13787428"
3909|"246212"|"482876"|"13787959"
0|"246202"|"482877"|"13787376"
838|"246203"|"482877"|"13787588"
838|"246204"|"482877"|"13787427"
|"246209"|"482877"|"13787821"
838|"246212"|"482877"|"13787958"
0|"246202"|"482878"|"13787377"
1644|"246203"|"482878"|"13787589"
1644|"246204"|"482878"|"13787426"
|"246209"|"482878"|"13787820"
1644|"246212"|"482878"|"13787957"
0|"246202"|"482879"|"13787378"
756|"246203"|"482879"|"13787590"
756|"246204"|"482879"|"13787425"
|"246209"|"482879"|"13787819"
756|"246212"|"482879"|"13787956"
0|"246202"|"482880"|"13787379"
5869|"246203"|"482880"|"13787591"
5869|"246204"|"482880"|"13787424"
|"246209"|"482880"|"13787818"
5869|"246212"|"482880"|"13787955"
0|"246202"|"482882"|"13787380"
3017|"246203"|"482882"|"13787592"
3017|"246204"|"482882"|"13787423"
|"246209"|"482882"|"13787817"
3017|"246212"|"482882"|"13787954"
0|"246202"|"482883"|"13787381"
2634|"246203"|"482883"|"13787593"
2634|"246204"|"482883"|"13787422"
|"246209"|"482883"|"13787816"
2634|"246212"|"482883"|"13787953"
0|"246202"|"482884"|"13787382"
1322|"246203"|"482884"|"13787594"
1322|"246204"|"482884"|"13787421"
