"Loam"||"57203105"|"58214338"
"Silt loam"||"57203119"|"58214502"
"Silty clay loam"||"57203120"|"58214503"
"Silty clay loam"||"57203121"|"58214005"
"Silty clay loam"||"57203122"|"58214342"
"Silt loam"||"57203136"|"58214877"
"Silty clay loam"||"57203137"|"58214878"
"Very fine sandy loam"||"57203138"|"58214787"
"Silt loam"||"57203139"|"58214678"
"Silty clay loam"||"57203152"|"58215028"
"Silt loam"||"57203153"|"58215029"
"Silty clay loam"||"57203154"|"58215030"
"Silty clay loam"||"57203155"|"58214619"
"Loam"||"57203169"|"58214348"
"Loam"||"57203170"|"58214011"
"Loam"||"57203171"|"58214182"
"Loam"||"57203172"|"58214183"
"Sandy loam"||"57203186"|"58214015"
"Silty clay loam"||"57203187"|"58214352"
"Silty clay loam"||"57203188"|"58214187"
"Silty clay loam"||"57203189"|"58214344"
"Loamy sand"||"57203202"|"58214756"
"Sandy loam"||"57203203"|"58215033"
"Coarse sand"||"57203204"|"58214688"
"Silt loam"||"57203205"|"58214512"
"Silty clay loam"||"57203206"|"58214513"
"Coarse sandy loam"||"57203219"|"58214189"
"Coarse sandy loam"||"57203220"|"58214190"
"Sand"||"57203221"|"58214191"
"Sand"||"57203221"|"58214192"
"Sand"||"57203222"|"58214889"
"Silt loam"||"57203236"|"58214020"
"Silt loam"||"57203237"|"58214357"
"Silt loam"||"57203238"|"58214021"
"Silty clay loam"||"57203239"|"58214193"
"Very fine sandy loam"||"57203253"|"58214968"
"Fine sandy loam"||"57203254"|"58214969"
"Fine sandy loam"||"57203255"|"58214641"
"Very fine sandy loam"||"57203256"|"58214745"
"Silty clay"||"57202576"|"58214869"
"Fine sandy loam"||"57202577"|"58214966"
"Fine sandy loam"||"57202578"|"58214967"
"Fine sandy loam"||"57202579"|"58214417"
"Loam"||"57202592"|"58214085"
"Clay loam"||"57202593"|"58214086"
"Sandy loam"||"57202594"|"58213915"
"Loamy sand"||"57202595"|"58214252"
"Loamy sand"||"57202596"|"58213916"
"Silt loam"||"57202609"|"58214254"
"Silt loam"||"57202610"|"58213917"
"Silt loam"||"57202611"|"58214255"
"Loam"||"57202612"|"58214090"
"Clay loam"||"57202626"|"58214092"
|"Unweathered bedrock"|"57202627"|"58214093"
"Loam"||"57202628"|"58214094"
"Loam"||"57202629"|"58214260"
"Loam"||"57202643"|"58214809"
"Clay loam"||"57202644"|"58214810"
"Loam"||"57202645"|"58214811"
"Loam"||"57202646"|"58214812"
"Clay loam"||"57202659"|"58214907"
"Loam"||"57202660"|"58214908"
"Clay loam"||"57202661"|"58214909"
"Loam"||"57202662"|"58214910"
"Loamy sand"||"57202676"|"58214911"
"Sand"||"57202677"|"58214912"
"Loamy sand"||"57202678"|"58214913"
"Loam"||"57202679"|"58214712"
"Sandy loam"||"57202693"|"58214099"
"Silty clay"||"57202694"|"58214100"
"Silty clay loam"||"57202695"|"58214101"
"Silty clay"||"57202696"|"58214102"
"Silty clay loam"||"57202709"|"58214824"
"Silty clay"||"57202710"|"58214717"
"Silty clay loam"||"57202711"|"58214435"
"Silty clay"||"57202712"|"58214269"
"Silty clay loam"||"57202713"|"58213930"
"Silty clay loam"||"57202726"|"58214916"
"Silty clay loam"||"57202727"|"58213934"
"Silty clay loam"||"57202728"|"58214272"
"Silty clay loam"||"57202729"|"58213935"
"Silty clay loam"||"57202743"|"58214767"
"Silt loam"||"57202744"|"58214436"
"Silty clay loam"||"57202745"|"58214437"
"Silty clay loam"||"57202746"|"58214438"
"Silty clay"||"57202760"|"58214772"
"Silty clay"||"57202761"|"58215004"
"Silty clay loam"||"57202762"|"58215005"
"Silty clay loam"||"57202763"|"58215006"
"Fine sandy loam"||"57202776"|"58214606"
"Loamy sand"||"57202777"|"58214721"
"Silt loam"||"57202778"|"58214276"
"Silt loam"||"57202779"|"58213939"
"Silty clay"||"57202793"|"58214664"
"Silty clay loam"||"57202794"|"58214774"
"Silty clay loam"||"57202795"|"58214665"
"Silty clay loam"||"57202796"|"58214775"
"Silty clay loam"||"57202810"|"58214783"
"Silty clay loam"||"57202811"|"58214675"
"Silty clay loam"||"57202812"|"58214281"
"Silty clay loam"||"57202813"|"58213944"
"Silty clay loam"||"57202826"|"58214856"
"Silty clay"||"57202827"|"58214857"
"Silty clay"||"57202828"|"58214660"
"Silty clay loam"||"57202829"|"58214769"
"Silty clay loam"||"57202830"|"58214661"
"Clay"||"57202843"|"58214120"
"Clay"||"57202844"|"58214121"
"Clay loam"||"57202845"|"58214122"
"Clay loam"||"57202846"|"58214123"
"Silt loam"||"57202860"|"58214124"
"Silty clay loam"||"57202861"|"58214125"
"Silty clay"||"57202862"|"58214126"
"Silty clay loam"||"57202863"|"58214127"
"Silt loam"||"57202876"|"58214128"
"Fine sandy loam"||"57202877"|"58214129"
"Loamy sand"||"57202878"|"58214130"
"Loam"||"57202879"|"58214457"
"Loam"||"57202880"|"58214458"
"Silt loam"||"57202893"|"58214133"
"Silt loam"||"57202894"|"58214134"
"Silty clay loam"||"57202895"|"58214135"
"Silty clay"||"57202896"|"58214136"
"Silt loam"||"57202910"|"58214827"
"Fine sandy loam"||"57202911"|"58214828"
"Loamy sand"||"57202912"|"58214608"
"Silty clay loam"||"57202913"|"58214759"
"Loam"||"57202927"|"58213967"
"Sandy loam"||"57202928"|"58214303"
"Loam"||"57202929"|"58213968"
"Silty clay loam"||"57202930"|"58214304"
"Silty clay loam"||"57202943"|"58214762"
"Silty clay loam"||"57202944"|"58214852"
"Silty clay loam"||"57202945"|"58214853"
"Fine sandy loam"||"57202946"|"58214854"
"Silty clay loam"||"57202947"|"58214855"
"Loam"||"57202960"|"58213972"
"Sandy clay loam"||"57202961"|"58214469"
"Loam"||"57202962"|"58214873"
"Loam"||"57202963"|"58214470"
"Silt loam"||"57202977"|"58214148"
"Silt loam"||"57202978"|"58214312"
"Clay loam"||"57202979"|"58213975"
"Silty clay loam"||"57202980"|"58214313"
"Silt loam"||"57202993"|"58214316"
"Clay loam"||"57202994"|"58215023"
"Silty clay loam"||"57202995"|"58215024"
"Loam"||"57202996"|"58214152"
"Clay loam"||"57202997"|"58213979"
"Loam"||"57203010"|"58214153"
"Loam"||"57203011"|"58214154"
"Loam"||"57203012"|"58214155"
"Silt loam"||"57203013"|"58214156"
"Clay loam"||"57203027"|"58214158"
"Clay loam"||"57203028"|"58214159"
"Loam"||"57203029"|"58214160"
"Silty clay loam"||"57203030"|"58214161"
"Clay loam"||"57203044"|"58214487"
"Loam"||"57203045"|"58214723"
"Silty clay loam"||"57203046"|"58214609"
"Silty clay"||"57203047"|"58214724"
"Clay loam"||"57203060"|"58214488"
"Clay"||"57203061"|"58214489"
"Clay"||"57203062"|"58214490"
"Sandy clay loam"||"57203063"|"58214491"
"Clay loam"||"57203064"|"58213991"
"Sandy clay loam"||"57203077"|"58213998"
"Clay loam"||"57203078"|"58214007"
"Loam"||"57203079"|"58214167"
"Clay loam"||"57203080"|"58214332"
|"Unweathered bedrock"|"57203094"|"58214687"
"Loam"||"57203095"|"58214336"
"Clay loam"||"57203096"|"58213999"
"Clay"||"57203097"|"58214337"
"Sandy loam"||"57203110"|"58214173"
|"Unweathered bedrock"|"57203111"|"58215032"
"Loam"||"57203112"|"58214003"
"Loam"||"57203113"|"58214341"
"Clay loam"||"57203114"|"58214004"
"Silty clay loam"||"57203127"|"58214178"
"Silt loam"||"57203128"|"58214179"
"Silt loam"||"57203129"|"58214963"
"Silt loam"||"57203130"|"58214415"
"Silty clay loam"||"57203144"|"58215026"
"Very fine sandy loam"||"57203145"|"58215027"
"Silty clay loam"||"57203146"|"58214788"
"Silty clay loam"||"57203147"|"58214674"
"Very fine sandy loam"||"57203161"|"58214009"
"Sandy loam"||"57203162"|"58214346"
"Loam"||"57203163"|"58214504"
"Loam"||"57203164"|"58214505"
"Loam"||"57203177"|"58214012"
"Loam"||"57203178"|"58214350"
"Very fine sandy loam"||"57203179"|"58214013"
"Sandy loam"||"57203180"|"58214508"
"Silty clay"||"57203194"|"58215001"
"Silty clay loam"||"57203195"|"58215002"
"Silty clay loam"||"57203196"|"58215003"
"Loam"||"57203197"|"58214188"
"Silty clay loam"||"57203211"|"58214834"
"Silty clay loam"||"57203212"|"58214945"
"Silty clay loam"||"57203213"|"58214946"
"Silty clay loam"||"57203214"|"58214741"
"Silt loam"||"57203227"|"58214837"
"Silt loam"||"57203228"|"58214940"
"Silt loam"||"57203229"|"58214356"
"Silt loam"||"57203230"|"58214516"
"Silt loam"||"57203231"|"58214517"
"Fine sandy loam"||"57203244"|"58214197"
"Fine sandy loam"||"57203245"|"58214358"
"Very fine sandy loam"||"57203246"|"58214022"
"Loam"||"57203247"|"58214359"
"Very fine sandy loam"||"57203261"|"58214971"
"Silty clay"||"57202571"|"58214736"
"Silty clay loam"||"57202573"|"58214866"
"Silt loam"||"57202575"|"58214868"
"Fine sandy loam"||"57202580"|"58214639"
"Fine sandy loam"||"57202582"|"58214838"
|"Unweathered bedrock"|"57202589"|"58213914"
"Loam"||"57202591"|"58214084"
"Sandy loam"||"57202598"|"58214419"
"Sandy loam"||"57202600"|"58214421"
"Silt loam"||"57202605"|"58214088"
"Silt loam"||"57202607"|"58214589"
"Clay loam"||"57202614"|"58213918"
|"Unweathered bedrock"|"57202616"|"58213919"
"Loam"||"57202623"|"58213921"
"Clay loam"||"57202625"|"58214091"
"Silt loam"||"57202630"|"58213922"
"Clay"||"57202632"|"58213923"
"Clay loam"||"57202639"|"58213924"
"Sand"||"57202641"|"58213925"
"Loam"||"57202648"|"58214590"
"Clay loam"||"57202650"|"58214097"
