0|0|0|0|15|183|"Wet"|"107999514"|"64528421"
0|0|0|0|15|183|"Wet"|"107999515"|"64528422"
0|0|0|0|15|183|"Wet"|"107999516"|"64528423"
0|0|0|0|15|183|"Wet"|"107999517"|"64528424"
0|0|0|0|15|183|"Wet"|"107999518"|"64528425"
0|0|0|0|15|183|"Wet"|"107999519"|"64528426"
0|0|0|0|15|183|"Wet"|"107999520"|"64528427"
0|0|0|0|15|183|"Wet"|"107999521"|"64528428"
25|30|102|183|183|183|"Wet"|"107999525"|"64528429"
0|0|0|25|30|102||"107999525"|"64528430"
25|30|102|183|183|183|"Wet"|"107999526"|"64528431"
0|0|0|25|30|102||"107999526"|"64528432"
25|30|51|183|183|183|"Wet"|"107999527"|"64528433"
0|0|0|25|30|51||"107999527"|"64528434"
25|30|51|183|183|183|"Wet"|"107999528"|"64528435"
0|0|0|25|30|51||"107999528"|"64528436"
25|30|51|183|183|183|"Wet"|"107999529"|"64528437"
0|0|0|25|30|51||"107999529"|"64528438"
25|30|51|183|183|183|"Wet"|"107999530"|"64528439"
0|0|0|25|30|51||"107999530"|"64528440"
25|30|51|183|183|183|"Wet"|"107999531"|"64528441"
0|0|0|25|30|51||"107999531"|"64528442"
25|30|51|183|183|183|"Wet"|"107999532"|"64528443"
0|0|0|25|30|51||"107999532"|"64528444"
25|30|51|183|183|183|"Wet"|"107999533"|"64528445"
0|0|0|25|30|51||"107999533"|"64528446"
25|30|102|183|183|183|"Wet"|"107999534"|"64528447"
0|0|0|25|30|102||"107999534"|"64528448"
25|30|102|183|183|183|"Wet"|"107999535"|"64528449"
0|0|0|25|30|102||"107999535"|"64528450"
25|30|102|183|183|183|"Wet"|"107999536"|"64528451"
0|0|0|25|30|102||"107999536"|"64528452"
0|0|0|102|127|152||"107999538"|"64528453"
102|127|152|183|183|183|"Wet"|"107999538"|"64528454"
25|30|51|183|183|183|"Wet"|"107999539"|"64528455"
0|0|0|25|30|51||"107999539"|"64528456"
25|30|51|183|183|183|"Wet"|"107999540"|"64528457"
0|0|0|25|30|51||"107999540"|"64528458"
25|30|51|183|183|183|"Wet"|"107999541"|"64528459"
0|0|0|25|30|51||"107999541"|"64528460"
0|0|0|51|76|102||"107999542"|"64528461"
51|76|102|183|183|183|"Wet"|"107999542"|"64528462"
0|0|0|51|76|102||"107999543"|"64528463"
51|76|102|183|183|183|"Wet"|"107999543"|"64528464"
0|0|0|102|127|152||"107999544"|"64528465"
102|127|152|183|183|183|"Wet"|"107999544"|"64528466"
0|0|0|102|127|152||"107999545"|"64528467"
102|127|152|183|183|183|"Wet"|"107999545"|"64528468"
0|0|0|102|127|152||"107999546"|"64528469"
102|127|152|183|183|183|"Wet"|"107999546"|"64528470"
0|0|0|0|31|61||"107999549"|"64528471"
0|31|61|183|183|183|"Wet"|"107999549"|"64528472"
0|0|0|0|31|61||"107999550"|"64528473"
0|31|61|183|183|183|"Wet"|"107999550"|"64528474"
0|0|0|0|31|61||"107999552"|"64528475"
0|31|61|183|183|183|"Wet"|"107999552"|"64528476"
0|0|0|0|31|61||"107999553"|"64528477"
0|31|61|183|183|183|"Wet"|"107999553"|"64528478"
0|0|0|0|31|61||"107999554"|"64528479"
0|31|61|183|183|183|"Wet"|"107999554"|"64528480"
0|0|0|0|31|61||"107999555"|"64528481"
0|31|61|183|183|183|"Wet"|"107999555"|"64528482"
0|0|0|0|31|61||"107999556"|"64528483"
0|31|61|183|183|183|"Wet"|"107999556"|"64528484"
0|0|0|0|31|61||"107999557"|"64528485"
0|31|61|183|183|183|"Wet"|"107999557"|"64528486"
0|0|0|0|31|61||"107999560"|"64528487"
0|31|61|183|183|183|"Wet"|"107999560"|"64528488"
0|0|0|61|84|107||"107999561"|"64528489"
61|84|107|183|183|183|"Wet"|"107999561"|"64528490"
0|0|0|61|84|107||"107999562"|"64528491"
