"not used"|"10312875"|"7065208"
"not used"|"10312877"|"7065254"
"not used"|"10312878"|"7065115"
"not used"|"10312879"|"7065210"
"not used"|"10312881"|"7065260"
"not used"|"10312882"|"7065261"
"not used"|"10312883"|"7065262"
"not used"|"10312887"|"7065120"
"not used"|"10312890"|"7065121"
"not used"|"10312892"|"7065211"
"not used"|"10312893"|"7065212"
"not used"|"10312896"|"7065162"
"not used"|"10312897"|"7065163"
"not used"|"10312899"|"7065164"
"not used"|"10312900"|"7065165"
"not used"|"10312902"|"7065213"
"not used"|"10312907"|"7065122"
"not used"|"10312909"|"7065214"
"not used"|"10312914"|"7065123"
"not used"|"10312916"|"7065263"
"not used"|"10312917"|"7065264"
"not used"|"10312923"|"7065265"
"not used"|"10312927"|"7065266"
"not used"|"10312933"|"7065124"
"not used"|"10312939"|"7065215"
"not used"|"10312940"|"7065245"
"not used"|"10312941"|"7065166"
"not used"|"10312942"|"7065160"
"not used"|"10312944"|"7065154"
"not used"|"10312945"|"7065156"
"not used"|"10312946"|"7065125"
"not used"|"10312947"|"7065296"
"not used"|"10312948"|"7065167"
"not used"|"10312954"|"7065126"
"not used"|"10312958"|"7065200"
"not used"|"10312959"|"7065202"
"not used"|"10312961"|"7065161"
"not used"|"10312962"|"7065246"
"not used"|"10312964"|"7065117"
"not used"|"10312965"|"7065267"
"not used"|"10312967"|"7065268"
"not used"|"10312969"|"7065205"
"not used"|"10312970"|"7065247"
"not used"|"10312971"|"7065216"
"not used"|"10312976"|"7065127"
"not used"|"10312979"|"7065217"
"not used"|"10312981"|"7065168"
"not used"|"10312983"|"7065128"
"not used"|"10312985"|"7065169"
"not used"|"10312986"|"7065170"
"not used"|"10312987"|"7065171"
"not used"|"10312989"|"7065218"
"not used"|"10312990"|"7065129"
"not used"|"10312991"|"7065130"
"not used"|"10312992"|"7065219"
"not used"|"10312993"|"7065203"
"not used"|"10312995"|"7065155"
"not used"|"10312996"|"7065269"
"not used"|"10312997"|"7065270"
"not used"|"10312998"|"7065293"
"not used"|"10312999"|"7065271"
"not used"|"10313000"|"7065294"
