PoreSizeDistribution_geometric_WtAvg_x,MUKEY,ksat_r_WtAvg,Ks_WtAvg,dbthirdbar_r_WtAvg,dbfifteenbar_r_WtAvg,ResidualWaterContent_WtAvg,Porosity_WtAvg,EffectivePorosity_WtAvg,BubblingPressure_Geometric_WtAvg,PoreSizeDistribution_geometric_WtAvg_y
0.215799889167,661627,3.42911544372,0.00295336205712,1.33908365548,,0.0341239674741,0.465502224909,0.430092864214,2.04740803637e-320,0.215799889167
0.234147685982,661628,9.3690291105,0.0048887951425,1.40399900457,,0.045484456781,0.462001056399,0.416415440073,1.11105482437e-319,0.234147685982
0.16240575681,661629,0.762718083874,0.000914792048427,1.2425661764,,0.193473651001,0.458427970005,0.39803974197,4.08147630029e-320,0.16240575681
0.214790816042,661630,4.191957,0.00327029943699,1.47964993397,,0.0321551601279,0.458657137073,0.424873567374,3.4218986631e-320,0.214790816042
0.181448723404,661631,3.599155,0.00201308085106,0.841721597693,,0.0155482978723,0.416988723404,0.400974042553,7.12936726949e-321,0.181448723404
0.216464227363,661632,4.08010288172,0.00305003476057,1.20226961091,,0.0250648234762,0.473938915011,0.4475387909,2.23268265356e-320,0.216464227363
0.212995047619,661633,4.121384,0.00281937907483,1.44223859649,,0.0391879183673,0.463440802721,0.42305447619,2.81320978742e-320,0.212995047619
0.219521782853,661634,4.0,0.00344242890492,1.41716301767,,0.027482599359,0.464678768696,0.435421402778,1.98070917418e-320,0.219521782853
0.228074068556,661635,9.40121352171,0.00339066979349,1.14974222183,,0.0589398274836,0.472213922625,0.436111880774,6.17285617914e-320,0.228074068556
0.137469768312,661636,1.59114193644,0.00139901540585,1.03185470247,,0.0576999805308,0.33585652267,0.307600851589,4.12198968325e-320,0.137469768312
0.2133523937,661637,3.53961533477,0.0030975704801,1.35742665709,,0.0372770219682,0.465542962607,0.433167133047,5.61752639321e-320,0.2133523937
0.206563735921,661638,3.65087174888,0.00315645605206,1.31738556964,,0.026163961796,0.44288144086,0.4150827515,2.46736383533e-320,0.206563735921
0.196657144984,661639,2.79736351432,0.00222904897528,1.3600095569,,0.0833455227437,0.471388555838,0.432513056113,3.5577667157e-320,0.196657144984
0.191255688971,661640,2.94796702,0.00184435536067,1.33848326426,,0.101259218701,0.473430065501,0.424495169902,6.66099303723e-320,0.191255688971
0.207638902817,661641,3.55751520404,0.0025750326194,1.34114061417,,0.0366917595687,0.475584340151,0.44522585166,3.12397707865e-320,0.207638902817
0.204474060765,661642,3.70731096926,0.0022567764533,1.33351136626,,0.0650661322209,0.476406966245,0.434836446898,5.45596692702e-320,0.204474060765
0.156241162641,661643,1.06952638655,0.000949050921979,1.35120251291,,0.19856026115,0.46406873716,0.403228740438,5.77809772811e-320,0.156241162641
0.191020318245,661644,3.9616707744,0.00195671750933,1.40376247692,,0.200580510242,0.474382925155,0.419232522698,9.00385232981e-320,0.191020318245
0.203311031393,661645,2.43731613488,0.00201327032141,1.34123443772,,0.0764987331697,0.469317431698,0.419800994223,7.61799819323e-320,0.203311031393
0.228865734619,661646,6.43138579336,0.00677941921026,1.40255626065,,0.061904714018,0.472667905299,0.428602666444,6.91543684484e-320,0.228865734619
0.343019923378,661647,21.521743615,0.0212102647245,1.47608864332,,0.0445298531292,0.468791083488,0.442026173374,6.97472472234e-320,0.343019923378
0.298262522795,661648,29.0752790304,0.0156204665141,1.33699025746,,0.0531259169927,0.417360621196,0.387749151501,1.11846580906e-319,0.298262522795
0.183996065844,661649,3.69970066615,0.00222781884443,1.22511258277,,0.134071563643,0.461046655204,0.408656518127,4.49747957409e-320,0.183996065844
0.207921093155,661650,3.95835576392,0.00238926057465,1.37375582106,,0.097387627639,0.473348964129,0.429543525905,9.42529032571e-320,0.207921093155
0.225842750095,661651,5.0028768353,0.00393971905714,1.54005732952,,0.0277249144161,0.463658432864,0.434056310384,3.56913022556e-320,0.225842750095
0.277505266118,661652,14.186957182,0.00640649380695,1.38712401858,,0.0332531259484,0.435112281208,0.401906228215,1.70339012717e-319,0.277505266118
0.199492144664,661653,3.36161641986,0.00164549675992,1.38049964026,,0.0220460233126,0.493070440137,0.470582708232,9.21135990106e-320,0.199492144664
0.205438242678,661654,3.50476968201,0.0033014993039,1.48160317111,,0.0277115899582,0.441250669456,0.411764100418,3.23563591461e-320,0.205438242678
0.21894,661655,4.2343,0.00349276,1.24247828947,,0.02724,0.4653,0.43624,2.69364590113e-320,0.21894
0.263072328563,661656,6.27060433856,0.00457827597886,1.32248039397,,0.0305544949041,0.47173264319,0.44226144268,1.32083509759e-319,0.263072328563
0.278680064847,661657,30.4998043222,0.0100156463743,1.52045077296,,0.0414718066355,0.466490543487,0.425158194706,1.1308174502e-319,0.278680064847
0.303951209016,661658,52.9637952226,0.0215155003182,0.650729390681,,0.0176510843054,0.332111893508,0.314262414075,1.18150858546e-319,0.303951209016
0.503616221196,661659,102.26200777,0.0433375063402,1.49926233184,,0.0241489579541,0.445644078498,0.421998290192,1.95763630852e-319,0.503616221196
0.22013343662,661660,4.27938619718,0.00362831594366,0.728,,0.0268016056338,0.46387456338,0.435143211268,2.20353278045e-320,0.22013343662
0.48686570166,661661,36.5206141472,0.0373807102407,1.59841835664,,0.0223437277446,0.450200490798,0.42763176198,1.87359574216e-319,0.48686570166
0.333599306441,661662,16.6197878013,0.00967297663057,1.29429756098,,0.0388170017247,0.453728766753,0.41754838837,6.11006043555e-319,0.333599306441
0.17558884278,661663,3.81087,0.00166354508772,1.06626153846,,0.0394621322537,0.421688076923,0.381371187584,2.21341409337e-320,0.17558884278
